"Row.names","Date","EP.experimentator...Imaging.acquisition","Condition","ID.embryo","Cell.Segmentation","Threshold.nuclei.y","Threshold.membrane.y","Surface.Segmentation","Merged.cells.to.get.new.surface.information.from.cell.segmentation","Shortest.distance.between.ATM.group.to.TVC.group..from.edge.to.edge..µm","Comment.on.the.distance","Comment.on.the.embryo","Phenotype","Details","Quality.of.segmentation.based.on.labelling..good..correct..not.good.","Comments","Name","phenotype.label","migration.perturbed","division.perturbed","orientation.perturbed"
"ADF.Cofilin.slide1_image24.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image24","yes",97.5,28.2,"-","yes","17.3","-","problem migration","enhanced ATM migration","one of the ATM migrated in the trunk with the TVCs","good","-","ADF.Cofilin.slide1_image24.2019_08_29","migration perturbed",TRUE,FALSE,FALSE
"ADF.Cofilin.slide1_image25_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image25_right","yes",100,16.6,"-","yes","33.9","-","problem division","inhibited TVC division","one of the TVC didn't divide in the trunk","good","-","ADF.Cofilin.slide1_image25_right.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide1_image26_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image26_left","yes",110,21.3,"-","yes","23.7","-","problem migration and division","enhanced ATM migration / enhanced ATM division","one of the ATM migrated and divided with the TVCs in the trunk","correct","-","ADF.Cofilin.slide1_image26_left.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image27.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image27","yes",113,36.9,"-","yes","26.9","-","problem division","inhibited TVC division","one of the TVC didn't divide in the trunk","good","-","ADF.Cofilin.slide1_image27.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide1_image28_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image28_left","yes",90.8,20.2,"-","yes","31.6","-","problem division","inhibited TVC division","one of the TVC didn't divide in the trunk","not good","-","ADF.Cofilin.slide1_image28_left.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide1_image29.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image29","yes",94,25.7,"-","yes","27.1","-","problem migration and division","inhibited TVC migration / inhibited TVC division","one of the TVC didn't migrate, it stayed in the tail and didn't divide","correct","-","ADF.Cofilin.slide1_image29.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image3.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image3","yes",150,32.3,"-","yes","19.2","-","problem migration and division","enhanced ATM migration / inhibited TVC division","one of the ATM migrated a bit in the trunk; and one of the TVC didn't divide in the trunk","good","-","ADF.Cofilin.slide1_image3.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image30.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image30","yes",120,30,"-","yes","21.1","-","problem migration and division","inhibited TVC migration / inhibited TVC division","one of the TVC didn't migrate, it stayed in the tail and didn't divide; and the TVC that migrated didn't divide in the trunk","good","-","ADF.Cofilin.slide1_image30.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image31.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image31","yes",85.5,31.4,"-","yes","16.6","-","problem migration and division","enhanced ATM migration / enhanced ATM division","one of the ATM migrated and divided with the TVCs in the trunk","not good","-","ADF.Cofilin.slide1_image31.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image32.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image32","yes",100,39.3,"-","yes","4.06","-","problem migration and division","enhanced ATM migration / inhibited TVC division","one of the ATM migrated with the TVCs in the trunk but not completely so it is not attached to the TVCs neither to the other ATM; and the 2 TVCs didn't divide in the trunk","good","-","ADF.Cofilin.slide1_image32.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image34.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image34","yes",103,42.9,"-","yes","40.2","-","problem division","inhibited TVC division","one of the TVC didn't divide in the trunk","good","-","ADF.Cofilin.slide1_image34.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide1_image35.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image35","yes",125,28.6,"-","yes","28.8","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","correct","-","ADF.Cofilin.slide1_image35.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide1_image36.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image36","yes",98.9,29.5,"-","yes","39.1","-","problem migration and division","inhibited TVC migration / inhibited TVC division","one of the TVC didn't migrate and didn't divide in the tail; the other TVC that migrated didn't divide in the trunk","good","-","ADF.Cofilin.slide1_image36.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image37.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image37","yes",101,28.1,"-","yes","31","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","good","-","ADF.Cofilin.slide1_image37.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide1_image38.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image38","yes",103,23,"-","yes","0","groups connected","problem migration and disposition TVC","enhanced ATM migration / problem disposition TVC","one of the ATM migrated in the trunk with the TVC, but still connected to the other ATM in the tail; one TVC is separated from the other TVCs by the ATM","good","-","ADF.Cofilin.slide1_image38.2019_08_29","migration perturbed",TRUE,FALSE,FALSE
"ADF.Cofilin.slide1_image39_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image39_left","yes",92.8,26.9,"-","yes","36.2","-","problem migration and division","enhanced ATM migration / inhibited TVC division","one of the ATM migrated with the TVCs in the trunk; and one of the TVC didn't divide in the trunk","correct","-","ADF.Cofilin.slide1_image39_left.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image39_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image39_right","yes",45.4,25.9,"-","yes","16","-","problem migration and division","enhanced ATM migration / enhanced ATM division","one of the ATM migrated and divided in the trunk with the TVCs","correct","-","ADF.Cofilin.slide1_image39_right.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image4_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image4_left","yes",117,30.2,"-","yes","-","no distance - only one group in the trunk","problem migration and division","enhanced ATM migration / inhibited TVC division","the 2 ATMs migrated in the trunk with the TVCs; and the 2 TVCs didn't divide","good","-","ADF.Cofilin.slide1_image4_left.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image41.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image41","yes",103,24.3,"-","yes","18.8","-","problem migration and division","enhanced ATM migration / inhibited TVC division","the 2 ATM migrated a bit in the trunk; one of the TVC didn't divide in the trunk","good","-","ADF.Cofilin.slide1_image41.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image44.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image44","yes",95.7,30.1,"-","yes","6.94","-","problem migration and division","enhanced ATM migration / inhibited TVC division","the ATMs migrated a bit in the trunk; one of the TVC didn't divide","correct","-","ADF.Cofilin.slide1_image44.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image45_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image45_left","yes",118,25.8,"-","yes","-","no distance - only one group in the trunk","problem migration and division","enhanced ATM migration / inhibited TVC division","the 2 ATMs migrated with the TVCs in the trunk; the 2 TVCs didn't divide in the trunk","good","-","ADF.Cofilin.slide1_image45_left.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image47.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image47","yes",95.1,28.5,"-","yes","2.34","-","problem migration and division","enhanced ATM migration / enhanced ATM division","the 2 ATMs migrated a bit in the trunk and one of the ATM divided","correct","-","ADF.Cofilin.slide1_image47.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image48.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image48","yes",87,25.7,"-","yes","22.2","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","good","-","ADF.Cofilin.slide1_image48.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide1_image5_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image5_right","yes",110,34.4,"-","yes","7.23","-","problem migration and division","enhanced ATM migration / inhibited TVC division","one of the ATM migrated a bit in the trunk; and one of the TVC didn't divide in the trunk","good","-","ADF.Cofilin.slide1_image5_right.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image50.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image50","yes",108,27,"-","yes","0","groups connected","problem migration and division","inhibited TVC migration / inhibited TVC division","the TVCs didn't migrate completely, they are still attached to the ATMs, and the 2 TVCs didn't divide","good","-","ADF.Cofilin.slide1_image50.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image51.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image51","yes",116,26.4,"-","yes","29.4","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","good","-","ADF.Cofilin.slide1_image51.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide1_image52_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image52_left","yes",113,25,"-","yes","25.8","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","good","-","ADF.Cofilin.slide1_image52_left.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide1_image52_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image52_right","yes",113,19.7,"-","yes","24.1","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","good","-","ADF.Cofilin.slide1_image52_right.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide1_image53_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image53_right","yes",100,15.5,"-","yes","0","groups connected","problem migration and division","enhanced ATM migration / enhanced ATM division","one of the ATM migrated and divided in the trunk with the TVCs, but it is still attached to the other ATM too","good","-","ADF.Cofilin.slide1_image53_right.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image9.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image9","yes",92.9,27.4,"-","yes","22.4","-","problem division","inhibited TVC division","the  2 TVCs didn't divide in the trunk","good","-","ADF.Cofilin.slide1_image9.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide2_image1_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image1_left","yes",100,33.8,"-","yes","18","-","problem migration and division","enhanced ATM migration / enhanced ATM division","one of the ATM migrated and divided with the TVCs in the trunk","good","Ambiguous phenotype between left and right","ADF.Cofilin.slide2_image1_left.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide2_image1_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image1_right","yes",115,33.8,"-","yes","28","-","problem migration and division","enhanced ATM migration / inhibited TVC division","one of the ATM migrated with the TVCs in the trunk; and the 2 TVCs didn't divide in the trunk","good","Ambiguous phenotype between left and right","ADF.Cofilin.slide2_image1_right.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide2_image10.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image10","yes",105,43.4,"-","yes","37.3","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","good","-","ADF.Cofilin.slide2_image10.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide2_image11_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image11_left","yes",79.5,22.6,"-","yes","35.2","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned ","not good","-","ADF.Cofilin.slide2_image11_left.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"ADF.Cofilin.slide2_image13_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image13_right","yes",130,33.1,"-","yes","12.1","-","problem migration and division","enhanced ATM migration / enhanced ATM division","one of the ATM migrated and divided in the trunk with the TVCs","not good","-","ADF.Cofilin.slide2_image13_right.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide2_image15.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image15","yes",90,22.4,"-","yes","10.3","-","problem migration and division","enhanced ATM division / inhibited TVC division","one of the ATM divided in the tail; and one of the TVC didn't divide in the trunk","good","-","ADF.Cofilin.slide2_image15.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide2_image16.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image16","yes",115,23.5,"-","yes","31.6","-","problem division","inhibited TVC division","the 2 ATMs are separated; and one of the TVC didn't divide in the trunk","good","-","ADF.Cofilin.slide2_image16.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide2_image17_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image17_left","yes",48.9,20.9,"-","yes","7.15","-","problem migration and division","enhanced ATM migration / inhibited TVC division","the 2 ATMs migrated a bit in the trunk and the 2 TVCs didn't divide in the trunk","good","-","ADF.Cofilin.slide2_image17_left.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide2_image17_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image17_right","yes",64.7,32.9,"-","yes","12.3","-","problem migration and division","enhanced ATM migration / inhibited TVC division","the 2 ATMs migrated a bit in the trunk and the 2 TVCs didn't divide in the trunk","good","-","ADF.Cofilin.slide2_image17_right.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide2_image18.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image18","yes",120,39.2,"-","yes","19.8","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","good","-","ADF.Cofilin.slide2_image18.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide2_image19.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image19","yes",105,32.3,"-","yes","37.2","-","problem migration and division","enhanced ATM migration / enhanced ATM division","one of the ATM migrated and divided in the trunk","good","-","ADF.Cofilin.slide2_image19.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide2_image2_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image2_left","yes",90,23.2,"-","yes","40.2","normally shorter distance","problem division (not seen with the segmentation obtained)","inhibited TVC division","one of the TVCs didn't divide in the trunk; and the other TVC divided but not completely, the 2 nuclei are in the same cell (but not seen with the segmentation)","not good","problem with segmentation: don't see the uncomplete division of the cell, with 2 nuclei inside the same cell","ADF.Cofilin.slide2_image2_left.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide2_image2_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image2_right","yes",90,23.2,"-","yes","32.4","-","problem division (not seen with the segmentation obtained)","inhibited TVC division","one of the TVC divided but not completely, the 2 nuclei are in the same cell (but not seen with the segmentation)","not good","problem with segmentation: don't see the uncomplete division of the cell, with 2 nuclei inside the same cell","ADF.Cofilin.slide2_image2_right.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide2_image21.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image21","yes",98.3,39.4,"-","yes","32.7","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","good","-","ADF.Cofilin.slide2_image21.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide2_image22.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image22","yes",106,28.6,"-","yes","27.1","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","good","-","ADF.Cofilin.slide2_image22.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide2_image23_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image23_left","yes",93,32.2,"-","yes","0","groups connected","problem migration and division","enhanced ATM migration / enhanced ATM division","one of the ATM migrated and divided in the trunk, the groups are connected","good","Ambiguous phenotype between left and right","ADF.Cofilin.slide2_image23_left.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide2_image23_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image23_right","yes",93,32.2,"-","yes","30.6","-","problem division and orientation","inhibited TVC division / TVC cell alignment","the 2 TVCs didn't divide in the trunk and they are not oriented in the medio-lateral orientation","good","Ambiguous phenotype between left and right","ADF.Cofilin.slide2_image23_right.2019_08_29","division/orientation perturbed",FALSE,TRUE,TRUE
"ADF.Cofilin.slide2_image26_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image26_left","yes",115,28.6,"-","yes","38.5","-","problem migration and division","enhanced ATM migration / inhibited TVC division","one of the ATM migrated in the trunk with the TVCs; the 2 TVCs didn't divide in the trunk","good","-","ADF.Cofilin.slide2_image26_left.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide2_image30.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image30","yes",115,31.6,"-","yes","-","no distance - only one group in the trunk","problem migration and division","enhanced ATM migration / inhibited TVC division","the 2 ATMs migrated in the trunk with the TVCs; and one of the TVC didn't divide","good","-","ADF.Cofilin.slide2_image30.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide2_image32_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image32_right","yes",104,53.8,"-","yes","11.7","-","problem migration","enhanced ATM migration","one of the ATM migrated with the TVCs in the trunk","correct","-","ADF.Cofilin.slide2_image32_right.2019_08_29","migration perturbed",TRUE,FALSE,FALSE
"ADF.Cofilin.slide2_image4_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image4_left","yes",113,40.5,"-","yes","36.1","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","good","-","ADF.Cofilin.slide2_image4_left.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide2_image5.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image5","yes",95.7,39.5,"-","yes","-","no distance - only one group in the trunk","problem migration and division","enhanced ATM migration / inhibited TVC division","the 2 ATMs migrated with the TVCs in the trunk; the 2 TVCs didn't divide in the trunk","good","-","ADF.Cofilin.slide2_image5.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide2_image6.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image6","yes",95.3,35.8,"-","yes","57.6","-","problem migration and division","inhibited TVC migration / inhibited TVC division","one of the TVC didn't migrate and didn't divide, it stayed in the tail with the ATMs","good","-","ADF.Cofilin.slide2_image6.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide2_image7.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image7","yes",115,45.2,"-","yes","20.9","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","not good","-","ADF.Cofilin.slide2_image7.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide2_image8.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image8","yes",105,35,"-","yes","25.3","-","problem migration and division","enhanced ATM migration / inhibited TVC division","one of the ATM migrated with the TVCs in the trunk; the 2 TVCs divided but not completely, the nuclei are inside the same cell for both","not good","the segmentation doesn't show the uncomplete division with 2 nuclei inside both TVCs","ADF.Cofilin.slide2_image8.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"Arhgef8.image1_left.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image1_left","yes",86.5,27.8,"-","yes","24.2","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","good","-","Arhgef8.image1_left.2020_01_10","orientation perturbed",FALSE,FALSE,TRUE
"Arhgef8.image10_left.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image10_left","yes",80.5,42.5,"-","yes","20.8","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","good","-","Arhgef8.image10_left.2020_01_10","orientation perturbed",FALSE,FALSE,TRUE
"Arhgef8.image11_left.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image11_left","yes",110.3,31.6,"-","yes","32.3","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","not good","-","Arhgef8.image11_left.2020_01_10","orientation perturbed",FALSE,FALSE,TRUE
"Arhgef8.image16.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image16","yes",85.3,25.9,"-","yes","41.2","-","problem migration and division","inhibited TVC migration / inhibited TVC division","one of the TVC didn't migrate and didn't divide in the tail","good","-","Arhgef8.image16.2020_01_10","migration/division perturbed",TRUE,TRUE,FALSE
"Arhgef8.image18.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image18","yes",84.3,31.5,"-","yes","15.7","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","good","-","Arhgef8.image18.2020_01_10","orientation perturbed",FALSE,FALSE,TRUE
"Arhgef8.image2_right.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image2_right","yes",120,43.1,"-","yes","21.2","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","good","-","Arhgef8.image2_right.2020_01_10","orientation perturbed",FALSE,FALSE,TRUE
"Arhgef8.image6.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image6","yes",80,52.2,"-","yes","18.2","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","correct","-","Arhgef8.image6.2020_01_10","orientation perturbed",FALSE,FALSE,TRUE
