"","ensembl_gene_id","ensembl_transcript_id","external_gene_name","refseq_peptide","refseq_peptide_predicted"
"33","ENSCING00000018404","ENSCINT00000005979","","",""
"34","ENSCING00000020745","ENSCINT00000033019","","",""
"35","ENSCING00000021050","ENSCINT00000033293","","",""
"36","ENSCING00000008145","ENSCINT00000016632","","","XP_009861618"
"37","ENSCING00000008145","ENSCINT00000016634","","",""
"38","ENSCING00000008148","ENSCINT00000016638","","","XP_002126414"
"39","ENSCING00000006277","ENSCINT00000012939","","",""
"40","ENSCING00000006279","ENSCINT00000012947","","","XP_026693889"
"41","ENSCING00000016443","ENSCINT00000028738","","","XP_009861151"
"42","ENSCING00000006281","ENSCINT00000012951","","","XP_002129425"
"43","ENSCING00000011254","ENSCINT00000016651","","","XP_002126585"
"44","ENSCING00000011254","ENSCINT00000016651","","","XP_026695849"
"45","ENSCING00000016446","ENSCINT00000028741","","","XP_018670801"
"46","ENSCING00000019390","ENSCINT00000031713","","",""
"47","ENSCING00000008153","ENSCINT00000016654","","","XP_026695845"
"48","ENSCING00000008153","ENSCINT00000016654","","","XP_009861612"
"49","ENSCING00000006282","ENSCINT00000012960","","",""
"50","ENSCING00000003905","ENSCINT00000008055","","","XP_018672454"
"51","ENSCING00000003905","ENSCINT00000008055","","","XP_002126530"
"52","ENSCING00000020303","ENSCINT00000032034","","",""
"53","ENSCING00000008154","ENSCINT00000016657","","","XP_002126832"
"54","ENSCING00000022220","ENSCINT00000034428","","",""
"55","ENSCING00000024576","ENSCINT00000036739","","",""
"56","ENSCING00000023288","ENSCINT00000035479","","",""
"57","ENSCING00000018257","ENSCINT00000030544","","","XP_009857717"
"58","ENSCING00000023017","ENSCINT00000032884","","",""
"59","ENSCING00000003907","ENSCINT00000008060","","","XP_002126836"
"60","ENSCING00000003907","ENSCINT00000008060","","","XP_009860451"
"61","ENSCING00000022298","ENSCINT00000033949","","",""
"62","ENSCING00000006287","ENSCINT00000028786","","","XP_002129368"
"63","ENSCING00000022759","ENSCINT00000034924","","",""
"64","ENSCING00000015814","ENSCINT00000005395","","",""
"65","ENSCING00000009771","ENSCINT00000019845","","",""
"66","ENSCING00000023603","ENSCINT00000031548","","",""
"67","ENSCING00000023987","ENSCINT00000035804","","","XP_004227208"
"68","ENSCING00000012236","ENSCINT00000036180","","",""
"69","ENSCING00000003910","ENSCINT00000008072","","","XP_002126933"
"70","ENSCING00000012236","ENSCINT00000019177","","",""
"71","ENSCING00000024271","ENSCINT00000036452","","",""
"72","ENSCING00000003921","ENSCINT00000008097","","",""
"73","ENSCING00000018321","ENSCINT00000031577","","","XP_002130077"
"74","ENSCING00000016670","ENSCINT00000028982","","",""
"75","ENSCING00000004262","ENSCINT00000008935","","","XP_002128302"
"76","ENSCING00000018122","ENSCINT00000030412","","",""
"77","ENSCING00000024405","ENSCINT00000032435","","","XP_026694613"
"78","ENSCING00000024405","ENSCINT00000032435","","","XP_002130239"
"79","ENSCING00000021517","ENSCINT00000023183","","",""
"80","ENSCING00000004321","ENSCINT00000008939","","","XP_002128379"
"81","ENSCING00000012234","ENSCINT00000023182","","",""
"82","ENSCING00000018012","ENSCINT00000030304","","",""
"83","ENSCING00000014942","ENSCINT00000027043","","",""
"84","ENSCING00000020606","ENSCINT00000032906","","",""
"85","ENSCING00000012233","ENSCINT00000023181","","",""
"86","ENSCING00000014949","ENSCINT00000027053","","",""
"87","ENSCING00000003926","ENSCINT00000008105","cirgg1","NP_001027962",""
"88","ENSCING00000014952","ENSCINT00000027057","","","XP_026694418"
"89","ENSCING00000014952","ENSCINT00000027057","","","XP_018671279"
"90","ENSCING00000020333","ENSCINT00000032645","","",""
"91","ENSCING00000022696","ENSCINT00000034850","","",""
"92","ENSCING00000016830","ENSCINT00000029157","","",""
"93","ENSCING00000003458","ENSCINT00000007104","","",""
"94","ENSCING00000019149","ENSCINT00000031421","","",""
"95","ENSCING00000003473","ENSCINT00000021056","","",""
"96","ENSCING00000001377","ENSCINT00000002686","","","XP_002132052"
"97","ENSCING00000001377","ENSCINT00000002686","","","XP_002126256"
"98","ENSCING00000015250","ENSCINT00000027398","","",""
"99","ENSCING00000017981","ENSCINT00000002148","","",""
"100","ENSCING00000024805","ENSCINT00000034726","","","XP_009858262"
"101","ENSCING00000016827","ENSCINT00000029154","","","XP_002127511"
"102","ENSCING00000016827","ENSCINT00000029154","","","XP_009861481"
"103","ENSCING00000003966","ENSCINT00000008212","","",""
"104","ENSCING00000023706","ENSCINT00000035481","","","XP_018671277"
"105","ENSCING00000023290","ENSCINT00000008305","","",""
"106","ENSCING00000022553","ENSCINT00000031051","","",""
"107","ENSCING00000020839","ENSCINT00000027067","","",""
"108","ENSCING00000018788","ENSCINT00000032957","","",""
"109","ENSCING00000004020","ENSCINT00000008294","","",""
"110","ENSCING00000004020","ENSCINT00000008284","","",""
"111","ENSCING00000023163","ENSCINT00000036218","","",""
"112","ENSCING00000018570","ENSCINT00000030395","","",""
"113","ENSCING00000024023","ENSCINT00000037329","","",""
"114","ENSCING00000000079","ENSCINT00000000117","zf(bbox/ring)-6","NP_001122372",""
"115","ENSCING00000016259","ENSCINT00000006242","","","XP_002126669"
"116","ENSCING00000016259","ENSCINT00000006242","","","XP_002126582"
"117","ENSCING00000015602","ENSCINT00000027785","","",""
"118","ENSCING00000020650","ENSCINT00000037160","","",""
"119","ENSCING00000020451","ENSCINT00000035005","","",""
"120","ENSCING00000020039","ENSCINT00000034809","","",""
"121","ENSCING00000025007","ENSCINT00000030681","","",""
"122","ENSCING00000022644","ENSCINT00000035630","","","XP_009861571"
"123","ENSCING00000002109","ENSCINT00000004280","","","XP_002129131"
"124","ENSCING00000000076","ENSCINT00000000109","","","XP_002125191"
"125","ENSCING00000011673","ENSCINT00000022467","","",""
"126","ENSCING00000021516","ENSCINT00000034464","","",""
"127","ENSCING00000020068","ENSCINT00000033144","","",""
"128","ENSCING00000022277","ENSCINT00000031732","","",""
"129","ENSCING00000020887","ENSCINT00000030311","","",""
"130","ENSCING00000019403","ENSCINT00000031860","","",""
"131","ENSCING00000018018","ENSCINT00000032341","","",""
"132","ENSCING00000003904","ENSCINT00000008056","","","XP_026696021"
"133","ENSCING00000003904","ENSCINT00000008056","","","XP_002119566"
"134","ENSCING00000020015","ENSCINT00000008050","","",""
"135","ENSCING00000002098","ENSCINT00000004270","","","XP_002129232"
"136","ENSCING00000024259","ENSCINT00000032602","","",""
"137","ENSCING00000020287","ENSCINT00000036693","","",""
"138","ENSCING00000015205","ENSCINT00000008711","","","XP_002124717"
"139","ENSCING00000008894","ENSCINT00000018100","","",""
"140","ENSCING00000008895","ENSCINT00000018101","","",""
"141","ENSCING00000008896","ENSCINT00000018103","","","XP_002128444"
"142","ENSCING00000020971","ENSCINT00000002837","","",""
"143","ENSCING00000019775","ENSCINT00000030666","","",""
"144","ENSCING00000018392","ENSCINT00000036722","","",""
"145","ENSCING00000024560","ENSCINT00000031786","","",""
"146","ENSCING00000015233","ENSCINT00000027376","","",""
"147","ENSCING00000000488","ENSCINT00000000891","","","XP_026695142"
"148","ENSCING00000000488","ENSCINT00000000891","","","XP_018671987"
"149","ENSCING00000000488","ENSCINT00000000891","","","XP_018671988"
"150","ENSCING00000000488","ENSCINT00000000891","","","XP_004227360"
"151","ENSCING00000000488","ENSCINT00000000891","","","XP_026695141"
"152","ENSCING00000015233","ENSCINT00000027375","","",""
"153","ENSCING00000024116","ENSCINT00000035513","","",""
"154","ENSCING00000001453","ENSCINT00000027373","","",""
"155","ENSCING00000006306","ENSCINT00000013007","","",""
"156","ENSCING00000022079","ENSCINT00000028731","","",""
"157","ENSCING00000008897","ENSCINT00000018105","","","XP_026695139"
"158","ENSCING00000008897","ENSCINT00000018105","","","XP_002122448"
"159","ENSCING00000006275","ENSCINT00000012938","","",""
"160","ENSCING00000015473","ENSCINT00000027372","","",""
"161","ENSCING00000010954","ENSCINT00000021531","","","XP_002128688"
"162","ENSCING00000001447","ENSCINT00000002839","","",""
"163","ENSCING00000016045","ENSCINT00000028272","","","XP_002128943"
"164","ENSCING00000021843","ENSCINT00000033834","","",""
"165","ENSCING00000020883","ENSCINT00000032512","","",""
"166","ENSCING00000021641","ENSCINT00000034185","","",""
"167","ENSCING00000020189","ENSCINT00000037259","","",""
"168","ENSCING00000001441","ENSCINT00000002788","","",""
"169","ENSCING00000016051","ENSCINT00000028280","","",""
"170","ENSCING00000024628","ENSCINT00000030447","","",""
"171","ENSCING00000025096","ENSCINT00000037167","","",""
"172","ENSCING00000018151","ENSCINT00000030783","","",""
"173","ENSCING00000004820","ENSCINT00000009993","","",""
"174","ENSCING00000004820","ENSCINT00000010004","","",""
"175","ENSCING00000001430","ENSCINT00000033304","","",""
"176","ENSCING00000001430","ENSCINT00000002793","","",""
"177","ENSCING00000001428","ENSCINT00000002792","","",""
"178","ENSCING00000004798","ENSCINT00000009950","","","XP_026694311"
"179","ENSCING00000006273","ENSCINT00000012930","","","XP_002127711"
"180","ENSCING00000001692","ENSCINT00000003413","","",""
"181","ENSCING00000015615","ENSCINT00000027801","","",""
"182","ENSCING00000016384","ENSCINT00000028663","","",""
"183","ENSCING00000001422","ENSCINT00000002782","","","XP_002121873"
"184","ENSCING00000015271","ENSCINT00000027426","","",""
"185","ENSCING00000021059","ENSCINT00000033309","","",""
"186","ENSCING00000020346","ENSCINT00000033769","","",""
"187","ENSCING00000021421","ENSCINT00000030799","","",""
"188","ENSCING00000023766","ENSCINT00000036914","","","XP_002128797"
"189","ENSCING00000007616","ENSCINT00000015610","","NP_001231986",""
"190","ENSCING00000021066","ENSCINT00000030929","","",""
"191","ENSCING00000021565","ENSCINT00000031315","","",""
"192","ENSCING00000018517","ENSCINT00000033067","","",""
"193","ENSCING00000024767","ENSCINT00000035290","","",""
"194","ENSCING00000019618","ENSCINT00000036138","","",""
"195","ENSCING00000007617","ENSCINT00000015615","","",""
"196","ENSCING00000015293","ENSCINT00000027451","","",""
"197","ENSCING00000023115","ENSCINT00000035644","","",""
"198","ENSCING00000007613","ENSCINT00000015607","","",""
"199","ENSCING00000004793","ENSCINT00000009921","","",""
"200","ENSCING00000019053","ENSCINT00000033778","","","XP_002126411"
"201","ENSCING00000024431","ENSCINT00000035387","","",""
"202","ENSCING00000019910","ENSCINT00000036650","","",""
"203","ENSCING00000023468","ENSCINT00000033975","","",""
"204","ENSCING00000015294","ENSCINT00000027452","","",""
"205","ENSCING00000023207","ENSCINT00000033211","","",""
"206","ENSCING00000003564","ENSCINT00000007338","","",""
"207","ENSCING00000021795","ENSCINT00000031557","","",""
"208","ENSCING00000024487","ENSCINT00000036586","","","XP_002124619"
"209","ENSCING00000020445","ENSCINT00000032134","","",""
"210","ENSCING00000003566","ENSCINT00000007346","","",""
"211","ENSCING00000014888","ENSCINT00000026971","","","XP_002123686"
"212","ENSCING00000007607","ENSCINT00000015600","","","XP_002125028"
"213","ENSCING00000002295","ENSCINT00000004693","tef/hlf","NP_001071833",""
"214","ENSCING00000021261","ENSCINT00000033555","","",""
"215","ENSCING00000016026","ENSCINT00000028253","","",""
"216","ENSCING00000015300","ENSCINT00000016926","","","XP_002125210"
"217","ENSCING00000015300","ENSCINT00000016926","","","XP_018671518"
"218","ENSCING00000015300","ENSCINT00000016926","","","XP_009861640"
"219","ENSCING00000006222","ENSCINT00000012827","","",""
"220","ENSCING00000021343","ENSCINT00000034961","","",""
"221","ENSCING00000024411","ENSCINT00000032758","","","XP_002123624"
"222","ENSCING00000007599","ENSCINT00000031653","","",""
"223","ENSCING00000007599","ENSCINT00000015589","","",""
"224","ENSCING00000006223","ENSCINT00000012831","","","XP_002128950"
"225","ENSCING00000022796","ENSCINT00000012856","","",""
"226","ENSCING00000003802","ENSCINT00000007859","","",""
"227","ENSCING00000019338","ENSCINT00000036125","","",""
"228","ENSCING00000003817","ENSCINT00000007868","","",""
"229","ENSCING00000015309","ENSCINT00000027468","","",""
"230","ENSCING00000006225","ENSCINT00000012873","","",""
"231","ENSCING00000006540","ENSCINT00000013430","","","XP_002127458"
"232","ENSCING00000015310","ENSCINT00000027469","","",""
"233","ENSCING00000021364","ENSCINT00000033924","","",""
"234","ENSCING00000006252","ENSCINT00000012952","","",""
"235","ENSCING00000011270","ENSCINT00000021869","","",""
"236","ENSCING00000004921","ENSCINT00000010142","","",""
"237","ENSCING00000004918","ENSCINT00000010137","","","XP_002129373"
"238","ENSCING00000021238","ENSCINT00000034636","","",""
"239","ENSCING00000004897","ENSCINT00000010101","","","XP_002129567"
"240","ENSCING00000004893","ENSCINT00000020539","","",""
"241","ENSCING00000000017","ENSCINT00000000023","","",""
"242","ENSCING00000021924","ENSCINT00000010099","","",""
"243","ENSCING00000017390","ENSCINT00000029717","","",""
"244","ENSCING00000015312","ENSCINT00000027470","","",""
"245","ENSCING00000024807","ENSCINT00000034368","","",""
"246","ENSCING00000004884","ENSCINT00000010096","","",""
"247","ENSCING00000004880","ENSCINT00000010082","","","XP_002129733"
"248","ENSCING00000003819","ENSCINT00000007900","","",""
"249","ENSCING00000017391","ENSCINT00000029718","zf(c2h2)-53","NP_001071897",""
"250","ENSCING00000004874","ENSCINT00000010074","","",""
"251","ENSCING00000003836","ENSCINT00000007905","","",""
"252","ENSCING00000012343","ENSCINT00000023332","","","XP_002128805"
"253","ENSCING00000003838","ENSCINT00000027536","","",""
"254","ENSCING00000003838","ENSCINT00000007915","","NP_001071792",""
"255","ENSCING00000018795","ENSCINT00000034862","","",""
"256","ENSCING00000020613","ENSCINT00000035489","","",""
"257","ENSCING00000004870","ENSCINT00000010059","","","XP_002130063"
"258","ENSCING00000004870","ENSCINT00000010059","","","XP_018671143"
"259","ENSCING00000018014","ENSCINT00000033233","","","XP_002130132"
"260","ENSCING00000018014","ENSCINT00000033233","","","XP_009861396"
"261","ENSCING00000000931","ENSCINT00000001699","","","XP_009857777"
"262","ENSCING00000018449","ENSCINT00000035906","","",""
"263","ENSCING00000004867","ENSCINT00000010050","","","XP_002130438"
"264","ENSCING00000017354","ENSCINT00000001988","","",""
"265","ENSCING00000023300","ENSCINT00000034186","","",""
"266","ENSCING00000018778","ENSCINT00000035399","","","XP_002129972"
"267","ENSCING00000023698","ENSCINT00000033139","","",""
"268","ENSCING00000021405","ENSCINT00000029051","","",""
"269","ENSCING00000000413","ENSCINT00000000762","","",""
"270","ENSCING00000015390","ENSCINT00000007931","","","XP_002122091"
"271","ENSCING00000018506","ENSCINT00000031039","","",""
"272","ENSCING00000021996","ENSCINT00000036557","","",""
"273","ENSCING00000000423","ENSCINT00000000783","","",""
"274","ENSCING00000020271","ENSCINT00000034028","","","XP_002127981"
"275","ENSCING00000014020","ENSCINT00000025760","","",""
"276","ENSCING00000018768","ENSCINT00000036695","","",""
"277","ENSCING00000014019","ENSCINT00000025759","","","XP_002128168"
"278","ENSCING00000000098","ENSCINT00000000153","","","XP_026695855"
"279","ENSCING00000000098","ENSCINT00000000153","","","XP_002128190"
"280","ENSCING00000004862","ENSCINT00000010046","","","XP_018671141"
"281","ENSCING00000004862","ENSCINT00000010046","","","XP_002130212"
"282","ENSCING00000004862","ENSCINT00000010046","","","XP_018671142"
"283","ENSCING00000004857","ENSCINT00000010039","","",""
"284","ENSCING00000024522","ENSCINT00000030402","","",""
"285","ENSCING00000012346","ENSCINT00000023335","","","XP_002129174"
"286","ENSCING00000000677","ENSCINT00000001243","","","XP_002128278"
"287","ENSCING00000004846","ENSCINT00000010029","","","XP_002130554"
"288","ENSCING00000003845","ENSCINT00000007940","","",""
"289","ENSCING00000003845","ENSCINT00000007998","","",""
"290","ENSCING00000000437","ENSCINT00000000795","","",""
"291","ENSCING00000002972","ENSCINT00000006060","","","XP_009862059"
"292","ENSCING00000010478","ENSCINT00000020793","","","XP_002129599"
"293","ENSCING00000010478","ENSCINT00000020793","","","XP_026696173"
"294","ENSCING00000002977","ENSCINT00000006102","ci-btf3","NP_001028175",""
"295","ENSCING00000004839","ENSCINT00000010015","","",""
"296","ENSCING00000000153","ENSCINT00000006650","","",""
"297","ENSCING00000022212","ENSCINT00000033824","","",""
"298","ENSCING00000022007","ENSCINT00000032380","","",""
"299","ENSCING00000006219","ENSCINT00000012825","","","XP_018671135"
"300","ENSCING00000020454","ENSCINT00000005163","","",""
"301","ENSCING00000023786","ENSCINT00000032005","","","XP_026694305"
"302","ENSCING00000017380","ENSCINT00000029706","","",""
"303","ENSCING00000001333","ENSCINT00000002598","","",""
"304","ENSCING00000002524","ENSCINT00000027965","","",""
"305","ENSCING00000022470","ENSCINT00000027964","","",""
"306","ENSCING00000016227","ENSCINT00000002580","","","XP_002128122"
"307","ENSCING00000018262","ENSCINT00000033891","","",""
"308","ENSCING00000019684","ENSCINT00000034503","","",""
"309","ENSCING00000021100","ENSCINT00000031293","","",""
"310","ENSCING00000015774","ENSCINT00000005042","","",""
"311","ENSCING00000012347","ENSCINT00000023338","","","XP_002129273"
"312","ENSCING00000020226","ENSCINT00000034796","","",""
"313","ENSCING00000006210","ENSCINT00000012814","","",""
"314","ENSCING00000021713","ENSCINT00000036778","","",""
"315","ENSCING00000001025","ENSCINT00000001908","","",""
"316","ENSCING00000006210","ENSCINT00000029704","","",""
"317","ENSCING00000001030","ENSCINT00000023343","","","XP_002129563"
"318","ENSCING00000001031","ENSCINT00000001927","hox10","NP_001027696","XP_026693863"
"319","ENSCING00000006198","ENSCINT00000012809","","",""
"320","ENSCING00000016963","ENSCINT00000029286","","",""
"321","ENSCING00000024614","ENSCINT00000033044","","",""
"322","ENSCING00000016262","ENSCINT00000000259","","","XP_002126935"
"323","ENSCING00000010690","ENSCINT00000021158","","",""
"324","ENSCING00000021167","ENSCINT00000031245","","",""
"325","ENSCING00000000151","ENSCINT00000000264","","",""
"326","ENSCING00000017377","ENSCINT00000029699","","",""
"327","ENSCING00000018508","ENSCINT00000032788","","",""
"328","ENSCING00000001735","ENSCINT00000028678","","",""
"329","ENSCING00000016391","ENSCINT00000028668","","",""
"330","ENSCING00000006195","ENSCINT00000012789","","",""
"331","ENSCING00000016387","ENSCINT00000008864","","",""
"332","ENSCING00000018978","ENSCINT00000030846","","",""
"333","ENSCING00000019482","ENSCINT00000034998","","",""
"334","ENSCING00000023724","ENSCINT00000034754","","",""
"335","ENSCING00000002433","ENSCINT00000005095","","",""
"336","ENSCING00000019731","ENSCINT00000030582","","",""
"337","ENSCING00000021314","ENSCINT00000032811","","",""
"338","ENSCING00000010768","ENSCINT00000009260","","",""
"339","ENSCING00000001033","ENSCINT00000001942","","",""
"340","ENSCING00000001033","ENSCINT00000001964","","",""
"341","ENSCING00000020486","ENSCINT00000029701","","","XP_004227124"
"342","ENSCING00000020486","ENSCINT00000029701","","","XP_026694304"
"343","ENSCING00000022588","ENSCINT00000032562","","",""
"344","ENSCING00000021083","ENSCINT00000034724","","",""
"345","ENSCING00000008160","ENSCINT00000016673","","","XP_002125242"
"346","ENSCING00000018301","ENSCINT00000033518","","",""
"347","ENSCING00000017370","ENSCINT00000029691","","",""
"348","ENSCING00000024659","ENSCINT00000035875","","",""
"349","ENSCING00000008160","ENSCINT00000011208","","",""
"350","ENSCING00000022834","ENSCINT00000031409","","",""
"351","ENSCING00000020923","ENSCINT00000036538","","","XP_002130107"
"352","ENSCING00000015164","ENSCINT00000027296","","",""
"353","ENSCING00000020248","ENSCINT00000035789","","",""
"354","ENSCING00000006183","ENSCINT00000012765","","","XP_002127292"
"355","ENSCING00000022548","ENSCINT00000031817","","",""
"356","ENSCING00000000269","ENSCINT00000000491","","",""
"357","ENSCING00000006190","ENSCINT00000012778","","",""
"358","ENSCING00000006191","ENSCINT00000012786","","",""
"359","ENSCING00000018748","ENSCINT00000032970","","",""
"360","ENSCING00000000259","ENSCINT00000000483","","",""
"361","ENSCING00000019141","ENSCINT00000035664","","",""
"362","ENSCING00000024361","ENSCINT00000036193","","",""
"363","ENSCING00000023587","ENSCINT00000020714","","",""
"364","ENSCING00000000382","ENSCINT00000000701","","","XP_002126504"
"365","ENSCING00000000386","ENSCINT00000000706","","",""
"366","ENSCING00000018292","ENSCINT00000031354","","",""
"367","ENSCING00000010580","ENSCINT00000020983","","",""
"368","ENSCING00000000934","ENSCINT00000001691","","",""
"369","ENSCING00000020695","ENSCINT00000031589","","",""
"370","ENSCING00000000936","ENSCINT00000001693","","",""
"371","ENSCING00000013751","ENSCINT00000020982","","",""
"372","ENSCING00000000938","ENSCINT00000002799","","",""
"373","ENSCING00000020354","ENSCINT00000002888","","","XP_002129039"
"374","ENSCING00000024481","ENSCINT00000016977","","",""
"375","ENSCING00000015944","ENSCINT00000028165","","",""
"376","ENSCING00000021411","ENSCINT00000030257","","",""
"377","ENSCING00000006179","ENSCINT00000012761","","","XP_002126782"
"378","ENSCING00000020419","ENSCINT00000012764","","",""
"379","ENSCING00000006181","ENSCINT00000012763","","",""
"380","ENSCING00000020708","ENSCINT00000037219","","",""
"381","ENSCING00000017366","ENSCINT00000029687","","",""
"382","ENSCING00000023071","ENSCINT00000020318","","",""
"383","ENSCING00000020088","ENSCINT00000036873","","",""
"384","ENSCING00000017357","ENSCINT00000029677","","",""
"385","ENSCING00000023218","ENSCINT00000032690","","",""
"386","ENSCING00000014699","ENSCINT00000026696","","",""
"387","ENSCING00000005725","ENSCINT00000011820","","",""
"388","ENSCING00000017358","ENSCINT00000029678","","","XP_018671151"
"389","ENSCING00000017358","ENSCINT00000029678","","","XP_026694277"
"390","ENSCING00000005724","ENSCINT00000011818","mnx","NP_001122328",""
"391","ENSCING00000025055","ENSCINT00000036555","","",""
"392","ENSCING00000021873","ENSCINT00000033111","","",""
"393","ENSCING00000019612","ENSCINT00000000599","","",""
"394","ENSCING00000005723","ENSCINT00000011816","","",""
"395","ENSCING00000014697","ENSCINT00000026691","","",""
"396","ENSCING00000020367","ENSCINT00000030583","","",""
"397","ENSCING00000000335","ENSCINT00000000607","","",""
"398","ENSCING00000020236","ENSCINT00000035922","","",""
"399","ENSCING00000005722","ENSCINT00000011810","","","XP_018670747"
"400","ENSCING00000000352","ENSCINT00000000644","","",""
"401","ENSCING00000024375","ENSCINT00000033547","","",""
"402","ENSCING00000005712","ENSCINT00000011797","","",""
"403","ENSCING00000020848","ENSCINT00000000667","","",""
"404","ENSCING00000000363","ENSCINT00000000657","","",""
"405","ENSCING00000024169","ENSCINT00000036880","","",""
"406","ENSCING00000021503","ENSCINT00000033709","","",""
"407","ENSCING00000022610","ENSCINT00000030533","","",""
"408","ENSCING00000017355","ENSCINT00000029675","","",""
"409","ENSCING00000001558","ENSCINT00000003092","","","XP_002125364"
"410","ENSCING00000017349","ENSCINT00000029670","","",""
"411","ENSCING00000017350","ENSCINT00000029671","","",""
"412","ENSCING00000001557","ENSCINT00000003080","","","XP_002127749"
"413","ENSCING00000001557","ENSCINT00000003080","","","XP_009861409"
"414","ENSCING00000017347","ENSCINT00000029668","","",""
"415","ENSCING00000001555","ENSCINT00000003077","","",""
"416","ENSCING00000017342","ENSCINT00000016095","","",""
"417","ENSCING00000017344","ENSCINT00000029665","","",""
"418","ENSCING00000001551","ENSCINT00000003068","","",""
"419","ENSCING00000018243","ENSCINT00000034744","","","XP_002127421"
"420","ENSCING00000017340","ENSCINT00000029662","","",""
"421","ENSCING00000001532","ENSCINT00000003039","","",""
"422","ENSCING00000017721","ENSCINT00000030027","","","XP_002119192"
"423","ENSCING00000000711","ENSCINT00000001311","","","XP_002119392"
"424","ENSCING00000019537","ENSCINT00000034393","","",""
"425","ENSCING00000019930","ENSCINT00000031529","","",""
"426","ENSCING00000017321","ENSCINT00000029647","","",""
"427","ENSCING00000000177","ENSCINT00000000302","","","XP_002120287"
"428","ENSCING00000022451","ENSCINT00000031226","","",""
"429","ENSCING00000008161","ENSCINT00000016684","","",""
"430","ENSCING00000022569","ENSCINT00000034682","","",""
"431","ENSCING00000008165","ENSCINT00000016688","","",""
"432","ENSCING00000023629","ENSCINT00000034741","","",""
"433","ENSCING00000008166","ENSCINT00000016690","","",""
"434","ENSCING00000004493","ENSCINT00000009288","","","XP_004227517"
"435","ENSCING00000004493","ENSCINT00000009288","","","XP_002127005"
"436","ENSCING00000019233","ENSCINT00000034732","","","XP_002127030"
"437","ENSCING00000019534","ENSCINT00000034437","","",""
"438","ENSCING00000004488","ENSCINT00000009283","","","XP_002127133"
"439","ENSCING00000018958","ENSCINT00000032869","","","XP_002127056"
"440","ENSCING00000018658","ENSCINT00000035643","","",""
"441","ENSCING00000022497","ENSCINT00000030212","","",""
"442","ENSCING00000015206","ENSCINT00000004228","","","XP_002129407"
"443","ENSCING00000002081","ENSCINT00000004240","","","XP_002129468"
"444","ENSCING00000002076","ENSCINT00000004212","","","XP_018672052"
"445","ENSCING00000002075","ENSCINT00000004207","","","XP_002129777"
"446","ENSCING00000015220","ENSCINT00000027358","","",""
"447","ENSCING00000022229","ENSCINT00000032936","","",""
"448","ENSCING00000024684","ENSCINT00000033945","","",""
"449","ENSCING00000020567","ENSCINT00000030889","","",""
"450","ENSCING00000023467","ENSCINT00000035030","","",""
"451","ENSCING00000015753","ENSCINT00000027947","","",""
"452","ENSCING00000024847","ENSCINT00000032794","","",""
"453","ENSCING00000000461","ENSCINT00000000848","","",""
"454","ENSCING00000024057","ENSCINT00000032096","","",""
"455","ENSCING00000010527","ENSCINT00000020884","","",""
"456","ENSCING00000015252","ENSCINT00000027401","","",""
"457","ENSCING00000021758","ENSCINT00000036704","","",""
"458","ENSCING00000015254","ENSCINT00000027402","","",""
"459","ENSCING00000022864","ENSCINT00000032944","","",""
"460","ENSCING00000020647","ENSCINT00000036089","","","XP_002119393"
"461","ENSCING00000020493","ENSCINT00000035146","","",""
"462","ENSCING00000023014","ENSCINT00000034611","","",""
"463","ENSCING00000019763","ENSCINT00000030513","","","XP_018669313"
