"","KHID","ensembl_transcript_id","KHname"
"163","KH.C1.1095","ENSCINT00000027379","DLD"
"164","KH.C1.1095","ENSCINT00000016298","DLD"
"165","KH.C1.1095","ENSCINT00000016326","DLD"
"166","KH.C1.1095","ENSCINT00000016320","DLD"
"167","KH.C1.1095","ENSCINT00000016338","DLD"
"168","KH.C1.1096","ENSCINT00000009886","5-HT1A"
"169","KH.C1.1096","ENSCINT00000009895","5-HT1A"
"170","KH.C1.1096","ENSCINT00000009893","5-HT1A"
"171","KH.C1.1098","ENSCINT00000014298","HOXA2B"
"172","KH.C1.1099","ENSCINT00000002369","SGPL1"
"173","KH.C1.11","ENSCINT00000025244","KH2013:KH.C1.11_HNRNPA1/3"
"174","KH.C1.11","ENSCINT00000006182","KH2013:KH.C1.11_HNRNPA1/3"
"175","KH.C1.11","ENSCINT00000029299","KH2013:KH.C1.11_HNRNPA1/3"
"176","KH.C1.110","ENSCINT00000004406","PUF60/68"
"177","KH.C1.110","ENSCINT00000025517","PUF60/68"
"178","KH.C1.110","ENSCINT00000004402","PUF60/68"
"179","KH.C1.1100","ENSCINT00000006024","KH2013:KH.C1.1100_BX119910.1/10/11/12/13/14/16/2/3/4/5/6/7/8/9"
"180","KH.C1.1100","ENSCINT00000025487","KH2013:KH.C1.1100_BX119910.1/10/11/12/13/14/16/2/3/4/5/6/7/8/9"
"181","KH.C1.1100","ENSCINT00000025488","KH2013:KH.C1.1100_BX119910.1/10/11/12/13/14/16/2/3/4/5/6/7/8/9"
"182","KH.C1.1101","ENSCINT00000023753","SYP-1"
"183","KH.C1.1101","ENSCINT00000014549","SYP-1"
"184","KH.C1.1102","ENSCINT00000023666","UTP23"
"185","KH.C1.1102","ENSCINT00000028392","UTP23"
"186","KH.C1.1102","ENSCINT00000011538","UTP23"
"187","KH.C1.1103","ENSCINT00000018451","FAM18B/1/2"
"188","KH.C1.1104","ENSCINT00000025371","POFUT2"
"189","KH.C1.1105","ENSCINT00000010833","KH2013:KH.C1.1105_CTSD"
"190","KH.C1.1106","ENSCINT00000023617","KLHDC1/3"
"191","KH.C1.1108","ENSCINT00000021246","KH2013:KH.C1.1108"
"192","KH.C1.1109","ENSCINT00000027499","KH2013:KH.C1.1109_DP"
"193","KH.C1.1109","ENSCINT00000027502","KH2013:KH.C1.1109_DP"
"194","KH.C1.1109","ENSCINT00000025430","KH2013:KH.C1.1109_DP"
"195","KH.C1.111","ENSCINT00000009917","AGAP1/2/3/9"
"196","KH.C1.111","ENSCINT00000009925","AGAP1/2/3/9"
"197","KH.C1.111","ENSCINT00000009930","AGAP1/2/3/9"
"198","KH.C1.1110","ENSCINT00000023978","MHT1"
"199","KH.C1.1112","ENSCINT00000005600","KH2013:KH.C1.1112_DCK"
"200","KH.C1.1116","ENSCINT00000013512","HAND/2"
"201","KH.C1.1117","ENSCINT00000025388","KH2013:KH.C1.1117"
"202","KH.C1.1118","ENSCINT00000003787","EFHD1/2"
"203","KH.C1.1119","ENSCINT00000003929","STT3B"
"204","KH.C1.1119","ENSCINT00000003935","STT3B"
"205","KH.C1.1119","ENSCINT00000003952","STT3B"
"206","KH.C1.112","ENSCINT00000013703","RNF32"
"207","KH.C1.1121","ENSCINT00000029867","KH2013:KH.C1.1121_SULT6B1"
"208","KH.C1.1121","ENSCINT00000025412","KH2013:KH.C1.1121_SULT6B1"
"209","KH.C1.1121","ENSCINT00000009067","KH2013:KH.C1.1121_SULT6B1"
"210","KH.C1.1122","ENSCINT00000025438","KH2013:KH.C1.1122_CYP-33C1/11/12/3/4/5/6/7/8"
"211","KH.C1.1123","ENSCINT00000013198","KH2013:KH.C1.1123"
"212","KH.C1.1125","ENSCINT00000025341","ARRB1/2"
"213","KH.C1.1125","ENSCINT00000007384","ARRB1/2"
"214","KH.C1.1125","ENSCINT00000029366","ARRB1/2"
"215","KH.C1.1126","ENSCINT00000014545","KH2013:KH.C1.1126_F49F1.1"
"216","KH.C1.1126","ENSCINT00000023752","KH2013:KH.C1.1126_F49F1.1"
"217","KH.C1.1128","ENSCINT00000020069","C10ORF122"
"218","KH.C1.1129","ENSCINT00000016171","ODC1/2"
"219","KH.C1.1129","ENSCINT00000016169","ODC1/2"
"220","KH.C1.1129","ENSCINT00000016168","ODC1/2"
"221","KH.C1.113","ENSCINT00000009062","MYBPC1/2/3"
"222","KH.C1.113","ENSCINT00000009061","MYBPC1/2/3"
"223","KH.C1.113","ENSCINT00000025405","MYBPC1/2/3"
"224","KH.C1.1130","ENSCINT00000015211","CG9986"
"225","KH.C1.1131","ENSCINT00000017097","C2ORF62"
"226","KH.C1.1132","ENSCINT00000020784","KH2013:KH.C1.1132"
"227","KH.C1.1133","ENSCINT00000015923","ALKBH3"
"228","KH.C1.1134","ENSCINT00000024131","KH2013:KH.C1.1134_GAS2"
"229","KH.C1.1135","ENSCINT00000000838","ANAPC4"
"230","KH.C1.1135","ENSCINT00000029813","ANAPC4"
"231","KH.C1.1136","ENSCINT00000011543","KH2013:KH.C1.1136"
"232","KH.C1.1137","ENSCINT00000015466","ADCK1"
"233","KH.C1.1137","ENSCINT00000023627","ADCK1"
"234","KH.C1.1138","ENSCINT00000008937","TARS"
"235","KH.C1.1138","ENSCINT00000008908","TARS"
"236","KH.C1.1138","ENSCINT00000008915","TARS"
"237","KH.C1.1139","ENSCINT00000025393","KH2013:KH.C1.1139_FAM55A"
"238","KH.C1.1140","ENSCINT00000005311","ANKRD11/12"
"239","KH.C1.1140","ENSCINT00000025254","ANKRD11/12"
"240","KH.C1.1142","ENSCINT00000024144","KH2013:KH.C1.1142_ASTE1"
"241","KH.C1.1142","ENSCINT00000003246","KH2013:KH.C1.1142_ASTE1"
"242","KH.C1.1144","ENSCINT00000025398","CENPN"
"243","KH.C1.1144","ENSCINT00000008968","CENPN"
"244","KH.C1.1145","ENSCINT00000010727","SCYL3"
"245","KH.C1.1146","ENSCINT00000025364","KH2013:KH.C1.1146_QDR1/2/3"
"246","KH.C1.1146","ENSCINT00000025363","KH2013:KH.C1.1146_QDR1/2/3"
"247","KH.C1.1146","ENSCINT00000025365","KH2013:KH.C1.1146_QDR1/2/3"
"248","KH.C1.1148","ENSCINT00000023846","KH2013:KH.C1.1148_FUT3/4/5/6/7/9"
"249","KH.C1.1148","ENSCINT00000016345","KH2013:KH.C1.1148_FUT3/4/5/6/7/9"
"250","KH.C1.115","ENSCINT00000021137","RPS29"
"251","KH.C1.1150","ENSCINT00000009949","KH2013:KH.C1.1150_NAAA"
"252","KH.C1.1151","ENSCINT00000025353","RPA2/4"
"253","KH.C1.1151","ENSCINT00000025352","RPA2/4"
"254","KH.C1.1153","ENSCINT00000028415","KH2013:KH.C1.1153"
"255","KH.C1.1153","ENSCINT00000025486","KH2013:KH.C1.1153"
"256","KH.C1.1154","ENSCINT00000023724","KH2013:KH.C1.1154"
"257","KH.C1.1155","ENSCINT00000025463","MTX1/3"
"258","KH.C1.1157","ENSCINT00000009938","KCND1/2/3"
"259","KH.C1.1159","ENSCINT00000005262","KH2013:KH.C1.1159"
"260","KH.C1.116","ENSCINT00000016292","HCFC1/2"
"261","KH.C1.116","ENSCINT00000016290","HCFC1/2"
"262","KH.C1.116","ENSCINT00000023862","HCFC1/2"
"263","KH.C1.1160","ENSCINT00000008867","WDR48"
"264","KH.C1.1161","ENSCINT00000009996","KH2013:KH.C1.1161_CCH1"
"265","KH.C1.1161","ENSCINT00000011381","KH2013:KH.C1.1161_CCH1"
"266","KH.C1.1161","ENSCINT00000011371","KH2013:KH.C1.1161_CCH1"
"267","KH.C1.1161","ENSCINT00000011383","KH2013:KH.C1.1161_CCH1"
"268","KH.C1.1165","ENSCINT00000018498","EGFL6"
"269","KH.C1.1165","ENSCINT00000025385","EGFL6"
"270","KH.C1.1167","ENSCINT00000006011","SEL1L"
"271","KH.C1.1167","ENSCINT00000023442","SEL1L"
"272","KH.C1.1168","ENSCINT00000011705","NOL10"
"273","KH.C1.1168","ENSCINT00000011698","NOL10"
"274","KH.C1.1168","ENSCINT00000011688","NOL10"
"275","KH.C1.1169","ENSCINT00000008982","ABT1"
"276","KH.C1.117","ENSCINT00000024095","FBXO25/32"
"277","KH.C1.1170","ENSCINT00000025450","KH2013:KH.C1.1170_RHBDL1/3"
"278","KH.C1.1170","ENSCINT00000025449","KH2013:KH.C1.1170_RHBDL1/3"
"279","KH.C1.1171","ENSCINT00000027337","KH2013:KH.C1.1171_AIF1"
"280","KH.C1.1171","ENSCINT00000025308","KH2013:KH.C1.1171_AIF1"
"281","KH.C1.1172","ENSCINT00000016239","KH2013:KH.C1.1172"
"282","KH.C1.1174","ENSCINT00000014531","KH2013:KH.C1.1174_IFI30"
"283","KH.C1.1175","ENSCINT00000003252","NOTCH3"
"284","KH.C1.1175","ENSCINT00000001118","NOTCH3"
"285","KH.C1.1178","ENSCINT00000016247","TMEM209"
"286","KH.C1.1179","ENSCINT00000023509","KH2013:KH.C1.1179_C3/4/5"
"287","KH.C1.1179","ENSCINT00000023510","KH2013:KH.C1.1179_C3/4/5"
"288","KH.C1.1179","ENSCINT00000001987","KH2013:KH.C1.1179_C3/4/5"
"289","KH.C1.118","ENSCINT00000025339","SRRM4"
"290","KH.C1.1180","ENSCINT00000005509","ARFGEF1/2"
"291","KH.C1.1180","ENSCINT00000005511","ARFGEF1/2"
"292","KH.C1.1180","ENSCINT00000025531","ARFGEF1/2"
"293","KH.C1.1180","ENSCINT00000005503","ARFGEF1/2"
"294","KH.C1.1180","ENSCINT00000005518","ARFGEF1/2"
"295","KH.C1.1182","ENSCINT00000010723","RCC2"
"296","KH.C1.1182","ENSCINT00000010718","RCC2"
"297","KH.C1.1183","ENSCINT00000013561","KH2013:KH.C1.1183"
"298","KH.C1.1184","ENSCINT00000015973","MED4"
"299","KH.C1.1187","ENSCINT00000008251","NUAK1/2"
"300","KH.C1.1188","ENSCINT00000012688","KLHL1/3/4"
"301","KH.C1.1188","ENSCINT00000025451","KLHL1/3/4"
"302","KH.C1.119","ENSCINT00000009923","KH2013:KH.C1.119"
"303","KH.C1.1190","ENSCINT00000023415","KH2013:KH.C1.1190"
"304","KH.C1.1190","ENSCINT00000000310","KH2013:KH.C1.1190"
"305","KH.C1.1190","ENSCINT00000023414","KH2013:KH.C1.1190"
"306","KH.C1.1190","ENSCINT00000013638","KH2013:KH.C1.1190"
"307","KH.C1.1191","ENSCINT00000001701","KH2013:KH.C1.1191_FUT3/4/5/6/7/9"
"308","KH.C1.1192","ENSCINT00000027930","KH2013:KH.C1.1192"
"309","KH.C1.1192","ENSCINT00000025435","KH2013:KH.C1.1192"
"310","KH.C1.1195","ENSCINT00000002224","SCYL2"
"311","KH.C1.1195","ENSCINT00000011592","SCYL2"
"312","KH.C1.1195","ENSCINT00000002231","SCYL2"
"313","KH.C1.1197","ENSCINT00000005778","PGS1"
"314","KH.C1.1198","ENSCINT00000025252","NUS1"
"315","KH.C1.1199","ENSCINT00000027759","PAQR3"
"316","KH.C1.1199","ENSCINT00000023405","PAQR3"
"317","KH.C1.1201","ENSCINT00000023411","F52C9.7"
"318","KH.C1.1202","ENSCINT00000006000","DOCK10/11/9"
"319","KH.C1.1202","ENSCINT00000005988","DOCK10/11/9"
"320","KH.C1.1202","ENSCINT00000005984","DOCK10/11/9"
"321","KH.C1.1202","ENSCINT00000005956","DOCK10/11/9"
"322","KH.C1.1202","ENSCINT00000029646","DOCK10/11/9"
"323","KH.C1.1202","ENSCINT00000005990","DOCK10/11/9"
"324","KH.C1.1202","ENSCINT00000005961","DOCK10/11/9"
"325","KH.C1.1203","ENSCINT00000012602","KH2013:KH.C1.1203_MUP1/3"
"326","KH.C1.1205","ENSCINT00000015910","DDX19/25"
"327","KH.C1.1205","ENSCINT00000015912","DDX19/25"
"328","KH.C1.1205","ENSCINT00000015907","DDX19/25"
"329","KH.C1.1207","ENSCINT00000023642","SFXN2"
"330","KH.C1.1208","ENSCINT00000025511","C12ORF56"
"331","KH.C1.1208","ENSCINT00000025502","C12ORF56"
"332","KH.C1.1208","ENSCINT00000025501","C12ORF56"
"333","KH.C1.121","ENSCINT00000027798","FERMT1/2/3"
"334","KH.C1.121","ENSCINT00000002380","FERMT1/2/3"
"335","KH.C1.121","ENSCINT00000027799","FERMT1/2/3"
"336","KH.C1.1211","ENSCINT00000016161","LAMA1/2"
"337","KH.C1.1211","ENSCINT00000016159","LAMA1/2"
"338","KH.C1.1211","ENSCINT00000023904","LAMA1/2"
"339","KH.C1.1212","ENSCINT00000014384","DMBX1"
"340","KH.C1.1213","ENSCINT00000010902","UVRAG"
"341","KH.C1.1216","ENSCINT00000005848","IMP4"
"342","KH.C1.1216","ENSCINT00000005842","IMP4"
"343","KH.C1.1218","ENSCINT00000014387","SI:CH211-197N1.2"
"344","KH.C1.1219","ENSCINT00000025380","POLQ"
"345","KH.C1.1219","ENSCINT00000018477","POLQ"
"346","KH.C1.1219","ENSCINT00000025378","POLQ"
"347","KH.C1.1219","ENSCINT00000025381","POLQ"
"348","KH.C1.1219","ENSCINT00000025379","POLQ"
"349","KH.C1.1219","ENSCINT00000018487","POLQ"
"350","KH.C1.122","ENSCINT00000003964","KH2013:KH.C1.122_EMP1/2/3"
"351","KH.C1.1220","ENSCINT00000025496","KH2013:KH.C1.1220_SRPX/2"
"352","KH.C1.1220","ENSCINT00000025495","KH2013:KH.C1.1220_SRPX/2"
"353","KH.C1.1222","ENSCINT00000010941","KIAA1704"
"354","KH.C1.1224","ENSCINT00000025414","LEPREL1/2"
"355","KH.C1.1224","ENSCINT00000012097","LEPREL1/2"
"356","KH.C1.1226","ENSCINT00000015526","KH2013:KH.C1.1226_FUCA/2"
"357","KH.C1.1226","ENSCINT00000015527","KH2013:KH.C1.1226_FUCA/2"
"358","KH.C1.1227","ENSCINT00000020067","BIRC3/7"
"359","KH.C1.1229","ENSCINT00000023641","MRPL35"
"360","KH.C1.1229","ENSCINT00000023640","MRPL35"
"361","KH.C1.123","ENSCINT00000003285","KH2013:KH.C1.123_KLHL12/2"
"362","KH.C1.1230","ENSCINT00000025327","SI:CH211-13C6.2"
"363","KH.C1.1231","ENSCINT00000001424","GCC2"
"364","KH.C1.1231","ENSCINT00000001421","GCC2"
"365","KH.C1.1232","ENSCINT00000021290","GTF3A"
"366","KH.C1.1232","ENSCINT00000021291","GTF3A"
"367","KH.C1.1232","ENSCINT00000023945","GTF3A"
"368","KH.C1.1234","ENSCINT00000019952","NR2C2AP"
"369","KH.C1.1235","ENSCINT00000008965","ATG13"
"370","KH.C1.1235","ENSCINT00000025397","ATG13"
"371","KH.C1.1236","ENSCINT00000016134","RRAGA"
"372","KH.C1.1237","ENSCINT00000024146","ASNA1"
"373","KH.C1.1238","ENSCINT00000013793","WDR33"
"374","KH.C1.1238","ENSCINT00000013797","WDR33"
"375","KH.C1.1239","ENSCINT00000024140","GRN"
"376","KH.C1.1239","ENSCINT00000024139","GRN"
"377","KH.C1.1239","ENSCINT00000024141","GRN"
"378","KH.C1.124","ENSCINT00000009082","MCM7"
"379","KH.C1.124","ENSCINT00000009077","MCM7"
"380","KH.C1.124","ENSCINT00000009080","MCM7"
"381","KH.C1.1240","ENSCINT00000003901","KH2013:KH.C1.1240_KLHL20"
"382","KH.C1.1240","ENSCINT00000023740","KH2013:KH.C1.1240_KLHL20"
"383","KH.C1.1241","ENSCINT00000029190","KH2013:KH.C1.1241"
"384","KH.C1.1241","ENSCINT00000023754","KH2013:KH.C1.1241"
"385","KH.C1.1241","ENSCINT00000023755","KH2013:KH.C1.1241"
"386","KH.C1.1242","ENSCINT00000025267","KH2013:KH.C1.1242"
"387","KH.C1.1243","ENSCINT00000012565","KH2013:KH.C1.1243"
"388","KH.C1.1244","ENSCINT00000016133","RTCD1"
"389","KH.C1.1248","ENSCINT00000025375","NME7"
"390","KH.C1.1249","ENSCINT00000025280","EPT1"
"391","KH.C1.1249","ENSCINT00000017096","EPT1"
"392","KH.C1.125","ENSCINT00000015978","CNR1/2"
"393","KH.C1.1250","ENSCINT00000018439","SLC25A39/40"
"394","KH.C1.1250","ENSCINT00000018440","SLC25A39/40"
"395","KH.C1.1251","ENSCINT00000010763","ACBD6"
"396","KH.C1.1252","ENSCINT00000027757","HGFAC"
"397","KH.C1.1252","ENSCINT00000025333","HGFAC"
"398","KH.C1.1256","ENSCINT00000025481","KH2013:KH.C1.1256"
