"","ensembl_transcript_id","KHID","KHname","ensembl_gene_id","external_gene_name","refseq_peptide","refseq_peptide_predicted"
"103","ENSCINT00000000383","KH.C1.673","KH2013:KH.C1.673_PHO87/90/91","ENSCING00000000207","","",""
"104","ENSCINT00000000394","KH.C9.821","STE13","ENSCING00000012852","","",""
"105","ENSCINT00000000396","KH.C4.262","SEPT10/11/6/8","ENSCING00000000219","","",""
"106","ENSCINT00000000398","KH.C5.476","KH2013:KH.C5.476_PLAC8","ENSCING00000000221","","","XP_002129134"
"107","ENSCINT00000000401","KH.C10.85","KH2013:KH.C10.85_CRYM","ENSCING00000000223","","",""
"108","ENSCINT00000000410","KH.C8.917","EIF2D","ENSCING00000000226","","","XP_002129161"
"109","ENSCINT00000000411","KH.C8.829","NARG2","ENSCING00000000231","","",""
"110","ENSCINT00000000421","KH.C8.337","KH2013:KH.C8.337_R106.2","ENSCING00000000234","","",""
"111","ENSCINT00000000426","KH.C8.720","ADPGK","ENSCING00000000238","","",""
"112","ENSCINT00000000430","KH.C12.372","CDC2/28","ENSCING00000000239","","",""
"113","ENSCINT00000000439","KH.C4.702","PSD-1","ENSCING00000000245","","",""
"114","ENSCINT00000000448","KH.L152.5","ZNRF3","ENSCING00000000249","","",""
"115","ENSCINT00000000449","KH.L139.12","ZAP70","ENSCING00000012361","","",""
"116","ENSCINT00000000453","KH.C10.187","LLPH","ENSCING00000000252","","","XP_026692251"
"117","ENSCINT00000000454","KH.L139.12","ZAP70","ENSCING00000012361","","",""
"118","ENSCINT00000000455","KH.S447.3","KH2013:KH.S447.3","ENSCING00000000254","","","XP_002124320"
"119","ENSCINT00000000456","KH.C10.514","CAPN7","ENSCING00000000253","","",""
"120","ENSCINT00000000458","KH.C8.672","KH2013:KH.C8.672_SBP1","ENSCING00000000257","","",""
"121","ENSCINT00000000459","KH.C10.514","CAPN7","ENSCING00000000253","","",""
"122","ENSCINT00000000466","KH.C14.598","IAP2","ENSCING00000000258","","",""
"123","ENSCINT00000000468","KH.L106.21","KH2013:KH.L106.21_NBAS","ENSCING00000000262","","",""
"124","ENSCINT00000000470","KH.L152.14","DERL2/3","ENSCING00000015969","","","XP_002126903"
"125","ENSCINT00000000480","KH.C12.79","C3ORF19","ENSCING00000014047","","",""
"126","ENSCINT00000000483","KH.L138.1","PLCB4","ENSCING00000000259","","",""
"127","ENSCINT00000000487","KH.L88.1","KH2013:KH.L88.1_BIRC2/3","ENSCING00000016659","","","XP_002130256"
"128","ENSCINT00000000491","KH.L138.2","USP53","ENSCING00000000269","","",""
"129","ENSCINT00000000494","KH.L147.28","PARD3","ENSCING00000014813","","",""
"130","ENSCINT00000000497","KH.L81.2","RGL/1/2/3","ENSCING00000000271","","",""
"131","ENSCINT00000000501","KH.L81.3","WDR34","ENSCING00000000273","","","XP_002130222"
"132","ENSCINT00000000501","KH.L81.3","WDR34","ENSCING00000000273","","","XP_026694992"
"133","ENSCINT00000000504","KH.S516.2","HERC2","ENSCING00000000272","","",""
"134","ENSCINT00000000510","KH.L88.1","KH2013:KH.L88.1_BIRC2/3","ENSCING00000016659","","",""
"135","ENSCINT00000000518","KH.L88.1","KH2013:KH.L88.1_BIRC2/3","ENSCING00000016659","","",""
"136","ENSCINT00000000520","KH.L81.1","SET","ENSCING00000000276","","",""
"137","ENSCINT00000000523","KH.L108.20","NAV1/2/3","ENSCING00000016113","","",""
"138","ENSCINT00000000524","KH.L108.20","NAV1/2/3","ENSCING00000000282","","",""
"139","ENSCINT00000000529","KH.C13.24","KH2013:KH.C13.24_KRTAP10-1/10/11/12/2/3/5/8/9","ENSCING00000000284","","",""
"140","ENSCINT00000000530","KH.C12.361","VPS35","ENSCING00000000288","","","XP_002130247"
"141","ENSCINT00000000532","KH.C13.87","TLR1/10/18/2/6","ENSCING00000000290","","",""
"142","ENSCINT00000000534","KH.C14.320","ADCY5/6","ENSCING00000000292","","",""
"143","ENSCINT00000000537","KH.C14.6","CNOT3","ENSCING00000000293","","",""
"144","ENSCINT00000000539","KH.C13.11","KH2013:KH.C13.11_EXT2","ENSCING00000000291","","",""
"145","ENSCINT00000000540","KH.C8.117","ATF7IP/2","ENSCING00000013213","","",""
"146","ENSCINT00000000542","KH.S496.2","KH2013:KH.S496.2","ENSCING00000000294","","",""
"147","ENSCINT00000000549","KH.C2.72","ADAM17","ENSCING00000000295","","",""
"148","ENSCINT00000000550","KH.C14.40","TMF1","ENSCING00000000297","","",""
"149","ENSCINT00000000551","KH.C2.72","ADAM17","ENSCING00000000295","","",""
"150","ENSCINT00000000560","KH.C2.546","PFDN2","ENSCING00000000301","","",""
"151","ENSCINT00000000563","KH.C9.783","KH2013:KH.C9.783","ENSCING00000000302","","",""
"152","ENSCINT00000000564","KH.S164.4","KH2013:KH.S164.4_VPS18","ENSCING00000001526","","",""
"153","ENSCINT00000000565","KH.L118.3","SHANK2","ENSCING00000000303","","",""
"154","ENSCINT00000000566","KH.L73.4","KH2013:KH.L73.4_SELP","ENSCING00000000304","","",""
"155","ENSCINT00000000567","KH.S164.8","MRPL24","ENSCING00000000305","","","XP_002121675"
"156","ENSCINT00000000568","KH.S164.20","KH2013:KH.S164.20_HSP67BB","ENSCING00000000306","","","XP_002121990"
"157","ENSCINT00000000569","KH.C3.492","TEX11","ENSCING00000000307","","",""
"158","ENSCINT00000000571","KH.S164.23","EIF4E3","ENSCING00000000308","","","XP_002122741"
"159","ENSCINT00000000571","KH.S164.23","EIF4E3","ENSCING00000000308","","","XP_009859055"
"160","ENSCINT00000000572","KH.S1380.1","KH2013:KH.S1380.1_VCAM1","ENSCING00000000310","","",""
"161","ENSCINT00000000576","KH.S164.11","KH2013:KH.S164.11_SLCO4A1","ENSCING00000000312","","",""
"162","ENSCINT00000000577","KH.C12.633","TAT","ENSCING00000000311","","","XP_002120196"
"163","ENSCINT00000000578","KH.S590.5","C15ORF24","ENSCING00000000317","","","XP_002128664"
"164","ENSCINT00000000579","KH.C12.420","MRPS23","ENSCING00000000318","","","XP_002120130"
"165","ENSCINT00000000583","KH.C12.445","RPS6KC1","ENSCING00000000320","","",""
"166","ENSCINT00000000584","KH.S1035.4","RNMT","ENSCING00000000315","","","XP_009857635"
"167","ENSCINT00000000584","KH.S1035.4","RNMT","ENSCING00000000315","","","XP_009857638"
"168","ENSCINT00000000584","KH.S1035.4","RNMT","ENSCING00000000315","","","XP_002127709"
"169","ENSCINT00000000588","KH.S1035.3","KH2013:KH.S1035.3_BRI3","ENSCING00000000323","","","XP_002127472"
"170","ENSCINT00000000589","KH.S766.1","FAT4","ENSCING00000000325","","",""
"171","ENSCINT00000000593","KH.L75.6","NPAT","ENSCING00000000330","","",""
"172","ENSCINT00000000599","KH.L170.72","KH2013:KH.L170.72_RICTOR","ENSCING00000019612","","",""
"173","ENSCINT00000000600","KH.C14.397","CSGALNACT1/2","ENSCING00000000334","","","XP_002130454"
"174","ENSCINT00000000600","KH.C14.397","CSGALNACT1/2","ENSCING00000000334","","","XP_026693302"
"175","ENSCINT00000000601","KH.L75.12","MRG-1","ENSCING00000000331","","",""
"176","ENSCINT00000000602","KH.S590.2","TOMM20","ENSCING00000000321","","","XP_002128237"
"177","ENSCINT00000000607","KH.L170.72","KH2013:KH.L170.72_RICTOR","ENSCING00000000335","","",""
"178","ENSCINT00000000608","KH.S590.7","WDR43","ENSCING00000000336","","","XP_002128623"
"179","ENSCINT00000000618","KH.S1840.1","RPL34","ENSCING00000000338","","","XP_002130459"
"180","ENSCINT00000000624","KH.C2.441","RRM1","ENSCING00000000347","","",""
"181","ENSCINT00000000632","KH.L75.3","SYNCRIP","ENSCING00000000345","","",""
"182","ENSCINT00000000633","KH.C1.598","ACVR2B","ENSCING00000000348","tgfbr-iia","NP_001071835","XP_026693851"
"183","ENSCINT00000000640","KH.C14.212","TOP3A","ENSCING00000000328","","",""
"184","ENSCINT00000000644","KH.L170.60","MIER1/2/3","ENSCING00000000352","","",""
"185","ENSCINT00000000645","KH.L164.7","KH2013:KH.L164.7_RGSL1","ENSCING00000000356","","",""
"186","ENSCINT00000000649","KH.L75.8","CCDC81","ENSCING00000000355","","",""
"187","ENSCINT00000000650","KH.L164.14","RALGAPB","ENSCING00000020703","","",""
"188","ENSCINT00000000654","KH.S653.2","BCL2L1/2","ENSCING00000000359","","","XP_002127107"
"189","ENSCINT00000000657","KH.L170.1","KIAA1432","ENSCING00000000363","","",""
"190","ENSCINT00000000660","KH.S1807.1","TMEM194","ENSCING00000000367","","",""
"191","ENSCINT00000000667","KH.L170.1","KIAA1432","ENSCING00000020848","","",""
"192","ENSCINT00000000671","KH.L75.7","KH2013:KH.L75.7_WDR52","ENSCING00000000371","","",""
"193","ENSCINT00000000680","KH.C2.236","COL6A1/2/3/5/6","ENSCING00000023007","","",""
"194","ENSCINT00000000681","KH.C14.225","PWP2","ENSCING00000000362","","","XP_026693519"
"195","ENSCINT00000000688","KH.S433.1","KH2013:KH.S433.1","ENSCING00000000379","","",""
"196","ENSCINT00000000689","KH.L7.11","TACR1/2/3","ENSCING00000000378","","",""
"197","ENSCINT00000000701","KH.L170.58","ALG12","ENSCING00000000382","","","XP_002126504"
"198","ENSCINT00000000705","KH.L152.41","CNOT10","ENSCING00000000385","","",""
"199","ENSCINT00000000706","KH.L170.85","KH2013:KH.L170.85","ENSCING00000000386","","",""
"200","ENSCINT00000000708","KH.S215.18","PTR2","ENSCING00000000383","","",""
"201","ENSCINT00000000709","KH.L63.2","KH2013:KH.L63.2_EPHX3/4","ENSCING00000000384","","",""
"202","ENSCINT00000000723","KH.S696.6","SNT-2","ENSCING00000000389","","","XP_002122947"
"203","ENSCINT00000000724","KH.S696.4","KH2013:KH.S696.4_PCS60","ENSCING00000000391","","",""
"204","ENSCINT00000000726","KH.S1531.1","KH2013:KH.S1531.1","ENSCING00000000392","","",""
"205","ENSCINT00000000727","KH.S1531.4","KH2013:KH.S1531.4","ENSCING00000000394","","",""
"206","ENSCINT00000000728","KH.L152.9","SGF11","ENSCING00000000395","","",""
"207","ENSCINT00000000729","KH.S1531.2","KH2013:KH.S1531.2","ENSCING00000000396","","",""
"208","ENSCINT00000000730","KH.L152.52","KH2013:KH.L152.52","ENSCING00000000397","","","XP_002121332"
"209","ENSCINT00000000735","KH.L152.44","TTC24/28","ENSCING00000000400","","",""
"210","ENSCINT00000000744","KH.L152.31","ILVBL","ENSCING00000000404","","",""
"211","ENSCINT00000000747","KH.L152.45","WNT5B","ENSCING00000000407","wnt5","NP_001027951",""
"212","ENSCINT00000000752","KH.S1340.2","KH2013:KH.S1340.2_PRKG2","ENSCING00000000405","","",""
"213","ENSCINT00000000753","KH.L102.3","KH2013:KH.L102.3_PHYHD1","ENSCING00000000410","","",""
"214","ENSCINT00000000757","KH.L152.48","ERC1/2","ENSCING00000000409","","",""
"215","ENSCINT00000000759","KH.L152.21","KH2013:KH.L152.21_MOODY","ENSCING00000000415","","",""
"216","ENSCINT00000000761","KH.L152.54","SHF","ENSCING00000000417","","","XP_002127868"
"217","ENSCINT00000000762","KH.L132.12","PAN2","ENSCING00000000413","","",""
"218","ENSCINT00000000763","KH.L152.29","ADSL","ENSCING00000000418","","",""
"219","ENSCINT00000000764","KH.L152.28","PTPN5/7","ENSCING00000000420","","",""
"220","ENSCINT00000000766","KH.C9.543","KH2013:KH.C9.543_IFA-1/3/4","ENSCING00000000419","","NP_001027716",""
"221","ENSCINT00000000767","KH.C9.37","KH2013:KH.C9.37_RXFP1/2","ENSCING00000000422","","",""
"222","ENSCINT00000000768","KH.L152.2","ISL1/2","ENSCING00000000421","isl","NP_001027767",""
"223","ENSCINT00000000775","KH.L152.8","SLC35A2","ENSCING00000000430","","",""
"224","ENSCINT00000000776","KH.C7.90","SORBS1/2/3","ENSCING00000000424","","",""
"225","ENSCINT00000000781","KH.C3.488","KH2013:KH.C3.488_DYNC1H1","ENSCING00000000427","","",""
"226","ENSCINT00000000783","KH.L132.18","CCDC99","ENSCING00000000423","","",""
"227","ENSCINT00000000786","KH.L152.42","KH2013:KH.L152.42","ENSCING00000020262","","",""
"228","ENSCINT00000000788","KH.C3.488","KH2013:KH.C3.488_DYNC1H1","ENSCING00000016693","","",""
"229","ENSCINT00000000792","KH.S598.2","MFSD1","ENSCING00000000429","","","XP_002129346"
"230","ENSCINT00000000793","KH.L152.11","DTWD2","ENSCING00000016977","","","XP_002131626"
"231","ENSCINT00000000793","KH.L152.11","DTWD2","ENSCING00000016977","","","XP_009861275"
"232","ENSCINT00000000795","KH.L132.6","T06A4.1/3","ENSCING00000000437","","",""
"233","ENSCINT00000000806","KH.S598.3","EDA","ENSCING00000000442","","","XP_002129711"
"234","ENSCINT00000000806","KH.S598.3","EDA","ENSCING00000000442","","","XP_018672629"
"235","ENSCINT00000000819","KH.L161.5","KIF11","ENSCING00000000446","","",""
"236","ENSCINT00000000825","KH.C14.570","C4BPA","ENSCING00000014479","","",""
"237","ENSCINT00000000826","KH.C13.62","PDCD5","ENSCING00000000448","","","XP_002130292"
"238","ENSCINT00000000831","KH.C14.525","SV2C","ENSCING00000000453","","",""
"239","ENSCINT00000000838","KH.C1.1135","ANAPC4","ENSCING00000000455","","",""
"240","ENSCINT00000000844","KH.C7.580","PFDN1","ENSCING00000011827","","",""
"241","ENSCINT00000000847","KH.L76.16","KH2013:KH.L76.16_CCDC63","ENSCING00000000463","ic5","NP_001071888",""
"242","ENSCINT00000000848","KH.L9.17","NOL6","ENSCING00000000461","","",""
"243","ENSCINT00000000852","KH.C1.1049","CLDN14/17/2/20","ENSCING00000000466","","","XP_002128468"
"244","ENSCINT00000000855","KH.C1.282","INTU","ENSCING00000000469","","",""
"245","ENSCINT00000000856","KH.S694.2","GMCL1","ENSCING00000000467","","","XP_002125481"
"246","ENSCINT00000000866","KH.S364.8","TRPC4AP","ENSCING00000000473","","",""
"247","ENSCINT00000000868","KH.S694.1","RHOBTB/1/2","ENSCING00000000475","","",""
"248","ENSCINT00000000876","KH.C12.656","CREG/1/2","ENSCING00000000484","","",""
"249","ENSCINT00000000877","KH.C14.8","KH2013:KH.C14.8_PTPRA","ENSCING00000000479","","",""
"250","ENSCINT00000000880","KH.S695.4","KH2013:KH.S695.4","ENSCING00000000487","","",""
"251","ENSCINT00000000883","KH.S695.3","KH2013:KH.S695.3_BATH-1/10/13/15/2/20/24/27/29/3/31/33/35/36/38/39/4/5/7/9","ENSCING00000000489","","","XP_002120341"
"252","ENSCINT00000000884","KH.S364.2","KH2013:KH.S364.2_STOM","ENSCING00000000485","","","XP_002124956"
"253","ENSCINT00000000884","KH.S364.2","KH2013:KH.S364.2_STOM","ENSCING00000000485","","","XP_002124901"
"254","ENSCINT00000000884","KH.S364.2","KH2013:KH.S364.2_STOM","ENSCING00000000485","","","XP_002124846"
"255","ENSCINT00000000886","KH.L37.50","ASCC1","ENSCING00000000491","","","XP_002129758"
"256","ENSCINT00000000888","KH.S695.5","CCDC14","ENSCING00000000492","","","XP_002123633"
"257","ENSCINT00000000891","KH.L97.1","CDK11B","ENSCING00000000488","","","XP_004227360"
"258","ENSCINT00000000891","KH.L97.1","CDK11B","ENSCING00000000488","","","XP_018671987"
"259","ENSCINT00000000891","KH.L97.1","CDK11B","ENSCING00000000488","","","XP_026695142"
"260","ENSCINT00000000891","KH.L97.1","CDK11B","ENSCING00000000488","","","XP_018671988"
"261","ENSCINT00000000891","KH.L97.1","CDK11B","ENSCING00000000488","","","XP_026695141"
"262","ENSCINT00000000899","KH.L18.44","KH2013:KH.L18.44_PLEKHA8","ENSCING00000015858","","","XP_026694359"
"263","ENSCINT00000000907","KH.C6.45","BVES","ENSCING00000000496","","",""
"264","ENSCINT00000000910","KH.C6.160","KH2013:KH.C6.160_NUDCD3","ENSCING00000016168","","","XP_009862087"
"265","ENSCINT00000000910","KH.C6.160","KH2013:KH.C6.160_NUDCD3","ENSCING00000016168","","","XP_009862088"
"266","ENSCINT00000000911","KH.C7.8","TMEM111","ENSCING00000000494","","",""
"267","ENSCINT00000000921","KH.C3.952","KH2013:KH.C3.952_SVEP1","ENSCING00000000501","","","XP_026689751"
"268","ENSCINT00000000924","KH.S364.3","KH2013:KH.S364.3","ENSCING00000000504","","",""
"269","ENSCINT00000000925","KH.L37.59","CRTAP","ENSCING00000000498","","",""
"270","ENSCINT00000000931","KH.S364.6","KH2013:KH.S364.6_UNC93A","ENSCING00000000509","","","XP_002125716"
"271","ENSCINT00000000932","KH.C3.152","SSRP/1","ENSCING00000000505","","",""
"272","ENSCINT00000000933","KH.L114.2","STRAP","ENSCING00000000502","","","XP_002120914"
"273","ENSCINT00000000936","KH.S364.9","ODF2","ENSCING00000000511","","","XP_002126710"
"274","ENSCINT00000000940","KH.S364.1","DOM3Z","ENSCING00000000512","","","XP_002126837"
"275","ENSCINT00000000945","KH.L155.18","LRRC4C","ENSCING00000000516","","",""
"276","ENSCINT00000000951","KH.L64.3","KH2013:KH.L64.3","ENSCING00000000518","","","XP_002131029"
