Experiment date (EP),EP experimentator + Imaging acquisition,Condition,ID embryo,Cell Segmentation,Threshold nuclei,Threshold membrane,Surface Segmentation,Merged cells to get new surface information from cell segmentation,Shortest distance between ATM group to TVC group (from edge to edge) µm,Comment on the distance,Comment on the embryo,Phenotype,Details,"Quality of segmentation based on labelling (good, correct, not good)",Comments
2019-08-29,Margaux Failla,Tyrosinase,slide1_image17,yes,73.3,16.3,-,yes,24.6,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Tyrosinase,slide1_image18_right,yes,83.6,21.1,-,yes,28.3,-,look like WT,look like WT,all look like WT,correct,-
2019-08-29,Margaux Failla,Tyrosinase,slide1_image18_left,yes,30.4,11.8,-,yes,26.3,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Tyrosinase,slide1_image19_right,yes,83.3,28.2,-,yes,24.4,-,problem division,inhibited TVC division,one of the TVC didn't complete the division yet,correct,-
2019-08-29,Margaux Failla,Tyrosinase,slide1_image19_left,yes,65.9,20,-,yes,35.9,-,look like WT,look like WT,all look like WT,correct,-
2019-08-29,Margaux Failla,Tyrosinase,slide1_image20,yes,83.9,14.5,-,yes,35.3,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Tyrosinase,slide1_image21_right,no,,,-,no,,-,look like WT,look like WT,all look like WT,not good,-
2019-08-29,Margaux Failla,Tyrosinase,slide1_image21_left,no,,,-,no,,-,look like WT,look like WT,all look like WT,not good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image1,yes,85.4,27.6,-,yes,43.2,-,look like WT,look like WT,all look like WT,correct,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image2_right,no,,,-,no,,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image2_left,no,,,-,no,,-,look like WT,look like WT,all look like WT,not good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image3,yes,88.6,25.9,-,yes,26.8,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image4_right,yes,103,39.8,-,yes,27.2,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image4_left,yes,103,20.9,-,yes,23.8,-,look like WT,look like WT,all look like WT,correct,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image5,no,,,-,no,,-,look like WT,look like WT,all look like WT,not good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image6_right,no,,,-,no,,-,look like WT,look like WT,all look like WT,not good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image6_left,no,,,-,no,,-,look like WT,look like WT,all look like WT,not good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image7_right,no,,,-,no,,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image7_left,no,,,-,no,,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image8,no,,,-,no,,-,look like WT,look like WT,all look like WT,not good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image9_right,yes,132,34.8,-,yes,37.6,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image9_left,yes,132,25.2,-,yes,28.3,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image10,yes,116,27.8,-,yes,33.4,-,problem orientation,TVC cell alignment,"the 2 TVCs divided not in the medio-lateral orientation, so cells are a bit aligned",good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image11,yes,104,25.8,-,yes,36.2,-,look like WT,look like WT,all look like WT,not good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image12_right,no,,,-,no,,-,look like WT,look like WT,all look like WT,not good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image12_left,no,,,-,no,,-,look like WT,look like WT,all look like WT,not good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image13,yes,90,32.5,-,yes,35.8,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image14,yes,135,34,-,yes,24.9,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image15,yes,130.7,35.2,-,yes,26.5,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image16_right,yes,88.3,28.7,-,yes,27.4,-,look like WT,look like WT,all look like WT,correct,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image16_left,no,,,-,no,,-,look like WT,look like WT,all look like WT,not good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image17,yes,114,32.7,-,yes,25.1,-,look like WT,look like WT,all look like WT,not good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image18_left,yes,105,27.2,-,yes,29.1,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image18_right,yes,105,27.2,-,yes,19.9,-,look like WT,look like WT,all look like WT,correct,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image19,yes,106,26.9,-,yes,32.7,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image20,yes,125.3,32.7,-,yes,31.5,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image21,yes,87.5,28.6,-,yes,25.5,-,look like WT,look like WT,all look like WT,correct,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image22_left,yes,83.6,31.9,-,yes,28.1,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image22_right,yes,83.6,31.9,-,yes,33.8,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image23_left,yes,100,23.5,-,yes,34.1,-,look like WT,look like WT,all look like WT,correct,-
2019-08-29,Margaux Failla,Tyrosinase,slide2_image23_right,yes,100,23.5,-,yes,32.2,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Depdc,slide1_image1,no,,,-,no,,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are a bit aligned ",not good,-
2019-08-29,Margaux Failla,Depdc,slide1_image2_left,no,,,-,no,,-,look like WT,look like WT,all look like WT,correct,-
2019-08-29,Margaux Failla,Depdc,slide1_image2_right,no,,,-,no,,-,look like WT,look like WT,all look like WT,correct,-
2019-08-29,Margaux Failla,Depdc,slide1_image3_left,yes,100,16.2,-,yes,38.9,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",correct,-
2019-08-29,Margaux Failla,Depdc,slide1_image3_right,yes,100,27.2,-,yes,29.4,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",good,-
2019-08-29,Margaux Failla,Depdc,slide1_image4,yes,45,13.6,-,yes,36.2,-,problem orientation,TVC cell alignment,"the 2 TVCs divided not in the medio-lateral orientation, so all cells are aligned",not good,-
2019-08-29,Margaux Failla,Depdc,slide1_image5,yes,95,16.8,-,yes,13.9,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",good,-
2019-08-29,Margaux Failla,Depdc,slide1_image6,yes,84.8,21.6,-,yes,24.4,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",correct,-
2019-08-29,Margaux Failla,Depdc,slide1_image7_right,yes,113,22.5,-,yes,28.7,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Depdc,slide1_image7_left,no,,,-,no,,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are a bit aligned ",good,-
2019-08-29,Margaux Failla,Depdc,slide1_image8_right,yes,115,27.9,-,yes,37.8,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Depdc,slide1_image8_left,yes,76.6,20,-,yes,21.1,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",good,-
2019-08-29,Margaux Failla,Depdc,slide1_image9_right,no,,,-,no,,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Depdc,slide1_image9_left,yes,90,29.1,-,yes,25,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Depdc,slide1_image10,yes,91,25.6,-,yes,25.1,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",good,-
2019-08-29,Margaux Failla,Depdc,slide1_image11,yes,113,18.2,-,yes,29.4,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",not good,-
2019-08-29,Margaux Failla,Depdc,slide1_image12,yes,94,16.8,-,yes,36.2,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Depdc,slide1_image13,yes,70.7,20.9,-,yes,22.3,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",good,-
2019-08-29,Margaux Failla,Depdc,slide1_image14_left,yes,102,22,-,yes,27.1,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",correct,-
2019-08-29,Margaux Failla,Depdc,slide1_image14_right,yes,90,22,-,yes,25.7,-,look like WT,look like WT,all look like WT,correct,-
2019-08-29,Margaux Failla,Depdc,slide1_image15,yes,126,25.8,-,yes,28.7,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Depdc,slide1_image16_left,yes,110,22.7,-,yes,29.8,-,problem orientation,TVC cell alignment,"the 2 TVCs divided not in the medio-lateral orientation, so all cells are aligned",good,-
2019-08-29,Margaux Failla,Depdc,slide1_image16_right,yes,88.3,16.2,-,yes,32.7,-,look like WT,look like WT,all look like WT,not good,-
2019-08-29,Margaux Failla,Depdc,slide1_image17,yes,108,22.7,-,yes,39.8,-,problem orientation,TVC cell alignment,"the 2 TVCs divided not in the medio-lateral orientation, so all cells are aligned",good,-
2019-08-29,Margaux Failla,Depdc,slide1_image18,yes,90,22.4,-,yes,36.7,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",correct,-
2019-08-29,Margaux Failla,Depdc,slide1_image19,yes,90,30,-,yes,50.3,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",good,-
2019-08-29,Margaux Failla,Depdc,slide1_image20_right,yes,100,22.9,-,yes,39.1,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Depdc,slide1_image20_left,yes,90,17.7,-,yes,38.2,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",correct,-
2019-08-29,Margaux Failla,Depdc,slide1_image21_left,yes,90.8,26.3,-,yes,26.7,-,look like WT,look like WT,all look like WT,correct,-
2019-08-29,Margaux Failla,Depdc,slide1_image21_right,yes,90.8,26.3,-,yes,28.5,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",correct,-
2019-08-29,Margaux Failla,Depdc,slide1_image22,yes,100,23.5,-,yes,28.2,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",good,-
2019-08-29,Margaux Failla,Depdc,slide1_image23_left,no,,,-,no,,-,look like WT,look like WT,all look like WT,not good,-
2019-08-29,Margaux Failla,Depdc,slide1_image23_right,yes,95,26.9,-,yes,24.9,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",good,-
2019-08-29,Margaux Failla,Depdc,slide1_image24_left,yes,100,37.8,-,yes,18.5,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",not good,-
2019-08-29,Margaux Failla,Depdc,slide1_image24_right,yes,40.8,21,-,yes,27.2,-,look like WT,look like WT,all look like WT,not good,-
2019-08-29,Margaux Failla,Depdc,slide1_image25_left,yes,70.2,18.5,-,yes,35.5,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",correct,-
2019-08-29,Margaux Failla,Depdc,slide1_image25_right,yes,86.5,31,-,yes,33.1,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",good,-
2019-08-29,Margaux Failla,Depdc,slide2_image1,yes,86.8,21.9,-,yes,32.4,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",good,-
2019-08-29,Margaux Failla,Depdc,slide2_image2_left,yes,80,28,-,yes,34.9,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Depdc,slide2_image2_right,yes,94,36,-,yes,20.5,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",good,-
2019-08-29,Margaux Failla,Depdc,slide2_image3_left,no,,,-,no,,-,look like WT,look like WT,all look like WT,not good,-
2019-08-29,Margaux Failla,Depdc,slide2_image3_right,yes,78,33.3,-,yes,33.6,-,problem orientation,TVC cell alignment,"the 2 TVCs divided not in the medio-lateral orientation, so all cells are aligned",correct,-
2019-08-29,Margaux Failla,Depdc,slide2_image4,no,,,-,no,,-,problem migration,inhibited TVC migration,"one of the TVC didn't migrated, but divided with the ATM in the tail",correct,-
2019-08-29,Margaux Failla,Depdc,slide2_image5,yes,87.5,36,-,yes,43.1,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",not good,-
2019-08-29,Margaux Failla,Depdc,slide2_image6,yes,115,33,-,yes,22.9,-,problem orientation,TVC cell alignment,"the 2 TVCs divided not in the medio-lateral orientation, so all cells are aligned",correct,-
2019-08-29,Margaux Failla,Depdc,slide2_image7,yes,95.1,42,-,yes,21.8,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",not good,-
2019-08-29,Margaux Failla,Depdc,slide2_image8,yes,100,46.7,-,yes,20.3,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",good,-
2019-08-29,Margaux Failla,Depdc,slide2_image9,yes,110,35.2,-,yes,22.7,-,look like WT,look like WT,all look like WT,correct,-
2019-08-29,Margaux Failla,Depdc,slide2_image10_left,no,,,-,no,,-,look like WT,look like WT,all look like WT,not good,-
2019-08-29,Margaux Failla,Depdc,slide2_image10_right,yes,83.2,58,-,yes,27.7,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",not good,-
2019-08-29,Margaux Failla,Depdc,slide2_image11,yes,96.2,33.2,-,yes,23.6,-,problem disposition TVC,problem disposition TVC,"The group is not oriented medio-lateral, but no feature to extract that",good,-
2019-08-29,Margaux Failla,Depdc,slide2_image12_left,yes,98.3,22.5,-,yes,35.6,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,Depdc,slide2_image12_right,yes,89.7,22.5,-,yes,27,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",good,-
2019-08-29,Margaux Failla,Depdc,slide2_image13,yes,76.8,24.5,-,yes,22.6,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",good,-
2019-08-29,Margaux Failla,Depdc,slide2_image14,yes,100,38.8,-,yes,44.6,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",not good,-
2019-08-29,Margaux Failla,Depdc,slide2_image15,yes,120,32.8,-,yes,32,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",good,-
2019-08-29,Margaux Failla,Depdc,slide2_image16,yes,130,38,-,yes,43.6,-,problem orientation,TVC cell alignment,"the 2 TVCs divided not in the medio-lateral orientation, so all cells are aligned",good,-
2019-08-29,Margaux Failla,Depdc,slide2_image17,yes,80,24.8,-,yes,33.4,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",good,-
2019-08-29,Margaux Failla,Depdc,slide2_image18,no,,,-,no,,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are a bit aligned ",not good,-
2019-08-29,Margaux Failla,Depdc,slide2_image19_left,yes,98.3,32.6,-,yes,21.5,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",good,-
2019-08-29,Margaux Failla,Depdc,slide2_image19_right,no,,,-,no,,-,look like WT,look like WT,all look like WT,not good,-
2019-08-29,Margaux Failla,Depdc,slide2_image20,yes,116,32,-,yes,13.5,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",correct,-
2019-08-29,Margaux Failla,Depdc,slide2_image21,yes,114,33.5,-,yes,25.8,-,problem orientation,TVC cell alignment,"the 2 TVCs divided not in the medio-lateral orientation, so all cells are aligned",correct,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image1_left,yes,98.3,28.1,-,yes,27.2,-,look like WT,look like WT,all look like WT,correct,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image1_right,no,,,-,no,,-,look like WT,look like WT,all look like WT,not good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image2_left,no,,,-,no,,-,look like WT,look like WT,all look like WT,not good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image2_right,yes,116,31.4,-,yes,31.4,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image3_left,no,,,-,no,,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are a bit aligned ",not good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image3_right,no,,,-,no,,-,problem division,inhibited TVC division,the 2 TVCs didn't divide in the trunk,not good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image4_left,yes,122,31,-,yes,0,groups connected,problem migration and division,inhibited TVC migration / inhibited TVC division,"one of the TVC didn't migrate completely, so still attached to ATM, and this TVC didn't divide",good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image4_right,no,,,-,no,,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are a bit aligned ",not good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image5_left,yes,116,21.8,-,yes,30.3,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image5_right,yes,116,17,-,yes,7.96,-,problem migration and orientation,enhanced ATM migration / TVC cell alignment,one of the ATM migrated in the trunk with the TVCs; the TVCs divided with not the medio-lateral orientation,good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image6_left,no,,,-,no,,-,problem migration,enhanced ATM migration,one of the ATM migrated with the TVCs in the trunk,not good,Ambiguous phenotype between left and right 
2019-08-29,Margaux Failla,4C - Daam,slide1_image6_right,no,,,-,no,,-,"problem migration, division and  disposition",enhanced ATM migration / enhanced ATM division / problem disposition TVC,the ATMs migrated with the TVCs in the trunk and one of the ATMs started to divide; the 2 TVCs divided but they are separated to each other,not good,Ambiguous phenotype between left and right 
2019-08-29,Margaux Failla,4C - Daam,slide1_image7_left,yes,110,25.5,-,yes,24.6,-,problem division,inhibited TVC division,one of the TVC didn't divide in the trunk,good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image7_right,yes,110,25.5,-,yes,23.8,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image8_left,yes,107,29.5,-,yes,20.5,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image8_right,no,,,-,no,,-,problem migration and division,enhanced ATM migration / inhibited TVC division,the ATMs migrated with the TVCs in the trunk and one of the ATMs started to divide (cell not divided yet); the 2 TVCs divided but they are separated to each other,not good,Ambiguous phenotype
2019-08-29,Margaux Failla,4C - Daam,slide1_image9,yes,104,38.1,-,yes,20.6,-,problem migration and division,enhanced ATM migration / inhibited TVC division,one of the ATM migrated a little in the trunk; the 2 TVCs didn't divide in the trunk,good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image10,yes,113,27,-,yes,14.6,-,problem division,inhibited TVC division,the 2 TVCs didn't divide in the trunk,not good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image11,yes,110,31.6,-,yes,29.3,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image13,yes,120,32.1,-,yes,34.3,-,problem division,inhibited TVC division,one of the TVC didn't divide in the trunk,good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image14_left,yes,76.3,25.3,-,yes,32.8,-,problem migration and division,inhibited TVC migration / inhibited TVC division,one of the TVC didn't migrate and didn't divide in the tail,not good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image14_right,yes,81.9,25.3,-,yes,35.9,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image15,yes,81.7,10,-,yes,32,-,problem division,inhibited TVC division,the 2 TVCs didn't divide in the trunk,good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image16_left,no,,,-,no,,-,look like WT,look like WT,all look like WT,not good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image16_right,yes,130,29.2,-,yes,11.8,-,problem division,inhibited TVC division,one of the TVC didn't divide in the trunk,correct,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image17_left,yes,110,17.4,-,yes,46.4,-,look like WT,look like WT,all look like WT,good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image17_right,yes,110,17.4,-,yes,42.8,-,problem division,inhibited TVC division,one of the TVC didn't divide in the trunk,correct,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image18_left,yes,96.5,16.9,-,yes,-,no distance - only one group in the trunk,problem migration and division,enhanced ATM migration / enhanced ATM division,the 2 ATM migrated in the trunk with TVCs and one of the ATM divided,correct,Ambiguous phenotype between left and right 
2019-08-29,Margaux Failla,4C - Daam,slide1_image18_right,yes,100,16.9,-,yes,18.9,-,problem migration and division,enhanced ATM migration / inhibited TVC division,one of the ATM migrated in the trunk with the TVCs and one of the TVC didn't divide in the trunk,not good,Ambiguous phenotype between left and right 
2019-08-29,Margaux Failla,4C - Daam,slide1_image19_left,yes,93.7,29.6,-,yes,0,groups connected,problem migration and division,inhibited TVC migration / inhibited TVC division / enhanced ATM division,"the TVCs didn't migrate completely, the group is still attached to the ATM; the 2 TVC didn't divide in the trunk; and one of the ATM divided in the tail",good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image19_right,yes,78.8,29.6,-,yes,38.3,-,problem division,inhibited TVC division,one of the TVC didn't divide in the trunk,good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image20_left,yes,90.8,40,-,yes,27.7,-,problem division,inhibited TVC division,the 2 TVCs didn't divide in the trunk,not good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image20_right,no,,,-,no,,-,problem division,inhibited TVC division,one of the TVC didn't divide in the trunk,not good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image21,yes,85.4,27,-,yes,25.9,-,problem division,inhibited TVC division,one of the TVC didn't divide in the trunk,good,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image23,yes,90,26.2,-,yes,13.9,-,look like WT,look like WT,all look like WT,correct,-
2019-08-29,Margaux Failla,4C - Daam,slide1_image24_left,yes,80.9,25.3,-,yes,18.1,-,problem migration and division,enhanced ATM migration / inhibited TVC division,one of the ATM migrated with TVCs in the trunk; and one of the TVC didn't divide in the trunk,good,Ambiguous phenotype between left and right 
