"Row.names","Date","EP.experimentator...Imaging.acquisition","Condition","ID.embryo","Cell.Segmentation","Threshold.nuclei","Threshold.membrane","Surface.Segmentation","Threshold.surface","Merged.cells.to.get.new.surface.information.from.cell.segmentation","Shortest.distance.between.ATM.group.to.TVC.group..from.edge.to.edge..µm","Comment.on.the.distance","Comment.on.the.embryo","Comment.detailed","Details.phenotype","Quality.of.segmentation.based.on.labelling..good..correct..not.good.","Comments","Name","Phenotype","migration.perturbed","division.perturbed","orientation.perturbed"
"ADF.Cofilin.slide1_image19_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image19_right","yes",90,16,"-","-","yes","28.2","-","problem disposition TVC","problem disposition TVC","the TVC-FHP pairs are not correctly placed in the trunk; and the 2 ATM are separated","not good","ambiguous left-right phenotype","ADF.Cofilin.slide1_image19_right.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image20_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image20_left","yes",77.6,25.6,"-","-","yes","27.9","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide1_image20_left.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image25_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image25_left","yes",100,32.2,"-","-","yes","31.4","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide1_image25_left.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image28_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image28_right","yes",42.5,19.2,"-","-","yes","24.5","-","look like WT","look like WT","all look like WT","correct","","ADF.Cofilin.slide1_image28_right.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image4_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image4_right","yes",92.3,25.2,"-","-","yes","33","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide1_image4_right.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image40_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image40_left","yes",71.8,22.6,"-","-","yes","23.2","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide1_image40_left.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image40_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image40_right","yes",79.9,22.6,"-","-","yes","30.8","-","look like WT","look like WT","all look like WT","not good","","ADF.Cofilin.slide1_image40_right.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image43.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image43","yes",98.2,35.5,"-","-","yes","25.9","-","problem disposition TVC","problem disposition TVC","the TVC-FHP pairs are separated in the trunk","good","","ADF.Cofilin.slide1_image43.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image45_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image45_right","yes",100,20.8,"-","-","yes","32.8","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide1_image45_right.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image46.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image46","yes",94.9,29.5,"-","-","yes","26.5","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide1_image46.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image49.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image49","yes",102,20.5,"-","-","yes","13.1","-","problem disposition TVC","problem disposition TVC","the TVC-FHP pairs are separated in the trunk","good","","ADF.Cofilin.slide1_image49.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image6.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image6","yes",100,43.7,"-","-","yes","26","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide1_image6.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image7.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image7","yes",93.6,35.9,"-","-","yes","25.8","-","problem disposition TVC","problem disposition TVC","the TVC-FHP pairs are separated in the trunk","good","","ADF.Cofilin.slide1_image7.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide2_image11_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image11_left","yes",79.5,22.6,"-","-","yes","35.2","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned ","not good","","ADF.Cofilin.slide2_image11_left.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"ADF.Cofilin.slide2_image11_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image11_right","yes",79.5,22.6,"-","-","yes","32.2","-","look like WT","look like WT","all look like WT","correct","","ADF.Cofilin.slide2_image11_right.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide2_image13_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image13_left","yes",130,43,"-","-","yes","41.3","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide2_image13_left.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide2_image14_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image14_left","yes",91,27.6,"-","-","yes","22.5","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide2_image14_left.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide2_image14_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image14_right","yes",110,39.8,"-","-","yes","35.2","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide2_image14_right.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide2_image2_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image2_right","yes",90,23.2,"-","-","yes","32.4","-","problem division (not seen with the segmentation obtained)","inhibited TVC division","one of the TVC divided but not completely, the 2 nuclei are in the same cell (but not seen with the segmentation)","not good","problem with segmentation: don't seen the uncomplete division of the cell, with 2 nuclei inside the same cell","ADF.Cofilin.slide2_image2_right.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide2_image20.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image20","yes",89.9,25.6,"-","-","yes","34.2","-","look like WT","look like WT","all look like WT","correct","","ADF.Cofilin.slide2_image20.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide2_image25.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image25","yes",74,34.8,"-","-","yes","36.8","-","look like WT","look like WT","all look like WT","not good","","ADF.Cofilin.slide2_image25.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide2_image27.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image27","yes",106,35.4,"-","-","yes","22.1","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide2_image27.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide2_image28.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image28","yes",140,35.2,"-","-","yes","34.8","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide2_image28.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide2_image29_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image29_right","yes",105,29.9,"-","-","yes","11.6","-","look like WT","look like WT","all look like WT","correct","","ADF.Cofilin.slide2_image29_right.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide2_image31_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image31_left","yes",110,35.2,"-","-","yes","33.4","-","look like WT","look like WT","all look like WT","not good","","ADF.Cofilin.slide2_image31_left.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide2_image32_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image32_left","yes",104,43.5,"-","-","yes","17.8","-","look like WT","look like WT","all look like WT","not good","","ADF.Cofilin.slide2_image32_left.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide2_image33_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image33_left","yes",90,37.9,"-","-","yes","23.3","-","look like WT","look like WT","all look like WT","not good","","ADF.Cofilin.slide2_image33_left.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide2_image4_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image4_right","yes",76.7,33.5,"-","-","yes","35.5","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide2_image4_right.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide2_image9_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image9_left","yes",77.8,30.4,"-","-","yes","43","-","look like WT","look like WT","all look like WT","correct","","ADF.Cofilin.slide2_image9_left.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide2_image9_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image9_right","yes",106,30.4,"-","-","yes","33.2","-","look like WT","look like WT","all look like WT","not good","","ADF.Cofilin.slide2_image9_right.2019_08_29","WT",FALSE,FALSE,FALSE
"Arhgef8.image1_left.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image1_left","yes",86.5,27.8,"-","-","yes","24.2","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","good","","Arhgef8.image1_left.2020_01_10","orientation perturbed",FALSE,FALSE,TRUE
"Arhgef8.image1_right.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image1_right","yes",86.5,27.8,"-","-","yes","33.3","-","look like WT","look like WT","all look like WT","good","","Arhgef8.image1_right.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.image10_left.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image10_left","yes",80.5,42.5,"-","-","yes","20.8","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","good","","Arhgef8.image10_left.2020_01_10","orientation perturbed",FALSE,FALSE,TRUE
"Arhgef8.image10_right.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image10_right","yes",95.7,32.3,"-","-","yes","21.4","-","look like WT","look like WT","all look like WT","good","","Arhgef8.image10_right.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.image11_left.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image11_left","yes",110.3,31.6,"-","-","yes","32.3","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","not good","","Arhgef8.image11_left.2020_01_10","orientation perturbed",FALSE,FALSE,TRUE
"Arhgef8.image11_right.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image11_right","yes",110,31.6,"-","-","yes","40.1","-","look like WT","look like WT","all look like WT","not good","","Arhgef8.image11_right.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.image12.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image12","yes",110,42.1,"-","-","yes","39.4","-","look like WT","look like WT","all look like WT","good","","Arhgef8.image12.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.image13_left.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image13_left","yes",92.9,27.6,"-","-","yes","17.3","-","look like WT","look like WT","all look like WT","good","","Arhgef8.image13_left.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.image13_right.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image13_right","yes",92.9,27.6,"-","-","yes","14.5","-","look like WT","look like WT","all look like WT","good","","Arhgef8.image13_right.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.image14.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image14","yes",90,34.3,"-","-","yes","13.2","-","look like WT","look like WT","all look like WT","good","","Arhgef8.image14.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.image15.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image15","yes",150,43.4,"-","-","yes","30.6","-","look like WT","look like WT","all look like WT","not good","","Arhgef8.image15.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.image17_left.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image17_left","yes",77.8,29.1,"-","-","yes","11.4","-","look like WT","look like WT","all look like WT","good","","Arhgef8.image17_left.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.image17_right.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image17_right","yes",77.8,29.1,"-","-","yes","14.7","-","look like WT","look like WT","all look like WT","correct","","Arhgef8.image17_right.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.image18.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image18","yes",84.3,31.5,"-","-","yes","15.7","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","good","","Arhgef8.image18.2020_01_10","orientation perturbed",FALSE,FALSE,TRUE
"Arhgef8.image19.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image19","yes",95.2,34.9,"-","-","yes","15.4","-","look like WT","look like WT","all look like WT","good","","Arhgef8.image19.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.image2_left.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image2_left","yes",120,43.1,"-","-","yes","21","-","look like WT","look like WT","all look like WT","good","","Arhgef8.image2_left.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.image2_right.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image2_right","yes",120,43.1,"-","-","yes","21.2","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","good","","Arhgef8.image2_right.2020_01_10","orientation perturbed",FALSE,FALSE,TRUE
"Arhgef8.image3_left.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image3_left","yes",100,31.9,"-","-","yes","32.3","-","look like WT","look like WT","all look like WT","correct","","Arhgef8.image3_left.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.image3_right.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image3_right","yes",100,29,"-","-","yes","40.3","-","look like WT","look like WT","all look like WT","not good","","Arhgef8.image3_right.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.image4_left.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image4_left","yes",195,37.1,"-","-","yes","27.1","-","look like WT","look like WT","all look like WT","correct","","Arhgef8.image4_left.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.image4_right.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image4_right","yes",129,37.1,"-","-","yes","23.8","-","look like WT","look like WT","all look like WT","good","","Arhgef8.image4_right.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.image5.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image5","yes",120,33.2,"-","-","yes","30.6","-","look like WT","look like WT","all look like WT","good","","Arhgef8.image5.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.image6.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image6","yes",80,52.2,"-","-","yes","18.2","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","correct","","Arhgef8.image6.2020_01_10","orientation perturbed",FALSE,FALSE,TRUE
"Arhgef8.image7.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image7","yes",107,38.8,"-","-","yes","14.3","-","problem disposition TVC","problem disposition TVC","all look like WT (but maybe the group is not medio-lateral oriented, but no feature to see that)","correct","","Arhgef8.image7.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.image8.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image8","yes",101.6,40.6,"-","-","yes","43","-","look like WT","look like WT","all look like WT","good","","Arhgef8.image8.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.image9.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","image9","yes",107,46.2,"-","-","yes","17.9","-","look like WT","look like WT","all look like WT","not good","","Arhgef8.image9.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.nextpart_image1_left.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","nextpart_image1_left","yes",94,33.6,"-","-","yes","17.1","-","look like WT","look like WT","all look like WT","correct","","Arhgef8.nextpart_image1_left.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.nextpart_image1_right.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","nextpart_image1_right","yes",94,33.6,"-","-","yes","12.4","-","look like WT","look like WT","all look like WT","good","","Arhgef8.nextpart_image1_right.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.nextpart_image10_left.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","nextpart_image10_left","yes",87.5,25.8,"-","-","yes","12.2","-","look like WT","look like WT","all look like WT","good","","Arhgef8.nextpart_image10_left.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.nextpart_image11.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","nextpart_image11","yes",90.4,24.4,"-","-","yes","50","-","look like WT","look like WT","all look like WT","good","","Arhgef8.nextpart_image11.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.nextpart_image12.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","nextpart_image12","yes",84.6,31.9,"-","-","yes","34.1","-","look like WT","look like WT","all look like WT","good","","Arhgef8.nextpart_image12.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.nextpart_image13_right.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","nextpart_image13_right","yes",85.4,33.9,"-","-","yes","35","-","look like WT","look like WT","all look like WT","good","","Arhgef8.nextpart_image13_right.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.nextpart_image14.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","nextpart_image14","yes",80,37.5,"-","-","yes","20.8","-","look like WT","look like WT","all look like WT","good","","Arhgef8.nextpart_image14.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.nextpart_image15.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","nextpart_image15","yes",110,39.7,"-","-","yes","31.1","-","look like WT","look like WT","all look like WT","not good","","Arhgef8.nextpart_image15.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.nextpart_image16.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","nextpart_image16","yes",104,37.1,"-","-","yes","29.5","-","look like WT","look like WT","all look like WT","good","","Arhgef8.nextpart_image16.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.nextpart_image2.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","nextpart_image2","yes",96.5,28.1,"-","-","yes","20.5","-","problem orientation","TVC cell alignment","the 2 TVC divided not in the medio-lateral orientation, so all cells are aligned (one of the TVC had moved to the other side and so detached from the other TVC)","correct","","Arhgef8.nextpart_image2.2020_01_10","orientation perturbed",FALSE,FALSE,TRUE
"Arhgef8.nextpart_image3.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","nextpart_image3","yes",110.2,29.5,"-","-","yes","15.2","-","look like WT","look like WT","all look like WT","good","","Arhgef8.nextpart_image3.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.nextpart_image4.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","nextpart_image4","yes",109.1,31.6,"-","-","yes","26.3","-","look like WT","look like WT","all look like WT","good","","Arhgef8.nextpart_image4.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.nextpart_image5.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","nextpart_image5","yes",100,24.9,"-","-","yes","20.1","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so FHP are a bit aligned","not good","","Arhgef8.nextpart_image5.2020_01_10","orientation perturbed",FALSE,FALSE,TRUE
"Arhgef8.nextpart_image6_left.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","nextpart_image6_left","yes",95,32,"-","-","yes","6.68","-","look like WT","look like WT","all look like WT","correct","ambiguous phenotype for left-right","Arhgef8.nextpart_image6_left.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.nextpart_image7_left.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","nextpart_image7_left","yes",90.8,28.8,"-","-","yes","22.8","-","look like WT","look like WT","all look like WT","good","","Arhgef8.nextpart_image7_left.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.nextpart_image7_right.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","nextpart_image7_right","yes",108,28.8,"-","-","yes","14.6","-","look like WT","look like WT","all look like WT","good","","Arhgef8.nextpart_image7_right.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.nextpart_image8.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","nextpart_image8","yes",110,34.2,"-","-","yes","44.2","-","look like WT","look like WT","all look like WT","good","","Arhgef8.nextpart_image8.2020_01_10","WT",FALSE,FALSE,FALSE
"Arhgef8.nextpart_image9_right.2020_01_10","2020_01_10","Margaux Failla","Arhgef8","nextpart_image9_right","yes",100,30.3,"-","-","yes","35.8","-","look like WT","look like WT","all look like WT","good","","Arhgef8.nextpart_image9_right.2020_01_10","WT",FALSE,FALSE,FALSE
"BMP.slide1_image10.2020_11_05","2020_11_05","Margaux Failla","BMP","slide1_image10","yes",82.5,32.9,"-","-","yes","23.1","-","problem orientation","TVC cell alignment","one of the TVCs divided not in the medio-lateral orientation, so cells are a bit aligned","good","-","BMP.slide1_image10.2020_11_05","orientation perturbed",FALSE,FALSE,TRUE
"BMP.slide1_image11_left.2020_11_04","2020_11_04","Margaux Failla","BMP","slide1_image11_left","yes",50.5,42.6,"-","-","yes","30.4","-","look like WT","look like WT","all look like WT","good","-","BMP.slide1_image11_left.2020_11_04","WT",FALSE,FALSE,FALSE
"BMP.slide1_image17.2020_11_05","2020_11_05","Margaux Failla","BMP","slide1_image17","yes",82.5,50.3,"-","-","yes","33","-","look like WT","look like WT","all look like WT","good","-","BMP.slide1_image17.2020_11_05","WT",FALSE,FALSE,FALSE
"BMP.slide1_image18_right.2020_11_04","2020_11_04","Margaux Failla","BMP","slide1_image18_right","yes",77.3,37.8,"-","-","yes","38.7","-","look like WT","look like WT","all look like WT","good","-","BMP.slide1_image18_right.2020_11_04","WT",FALSE,FALSE,FALSE
"BMP.slide1_image19_right.2020_11_05","2020_11_05","Margaux Failla","BMP","slide1_image19_right","yes",85,62.5,"-","-","yes","5.46","-","problem migration","enhanced ATM migration","one of the ATM migrated a bit in the trunk but still attached to the other ATM in the tail","not good","-","BMP.slide1_image19_right.2020_11_05","migration perturbed",TRUE,FALSE,FALSE
"BMP.slide1_image21_left.2020_11_04","2020_11_04","Margaux Failla","BMP","slide1_image21_left","yes",85,42.9,"-","-","yes","24.6","-","look like WT","look like WT","all look like WT","good","-","BMP.slide1_image21_left.2020_11_04","WT",FALSE,FALSE,FALSE
"BMP.slide1_image24.2020_11_04","2020_11_04","Margaux Failla","BMP","slide1_image24","yes",93.5,37.3,"-","-","yes","33.1","-","look like WT","look like WT","all look like WT","good","-","BMP.slide1_image24.2020_11_04","WT",FALSE,FALSE,FALSE
"BMP.slide1_image28_right.2020_11_05","2020_11_05","Margaux Failla","BMP","slide1_image28_right","yes",85,47.2,"-","-","yes","32.7","-","look like WT","look like WT","all look like WT","correct","-","BMP.slide1_image28_right.2020_11_05","WT",FALSE,FALSE,FALSE
"BMP.slide1_image3.2020_11_04","2020_11_04","Margaux Failla","BMP","slide1_image3","yes",89.5,60,"-","-","yes","13","-","look like WT","look like WT","all look like WT","good","-","BMP.slide1_image3.2020_11_04","WT",FALSE,FALSE,FALSE
